value,m,s,n,n_arms,eps,f_eps,f_n_arms,n_users
7,49.35511643186879,0.9630719040988072,11,10.0,0.5,0.5,10,101
8,56.77276795916537,1.3147475873095307,8,10.0,0.5,0.5,10,101
9,49.034693286199364,0.710316849297768,11,10.0,0.5,0.5,10,101
10,52.576318823505666,1.2848200688791518,10,10.0,0.5,0.5,10,101
1,37.28612719806466,1.8532600544195899,13,10.0,0.6,0.6,10,101
2,41.18116160456344,1.5463362609613103,10,10.0,0.6,0.6,10,101
3,39.367917950408234,1.9853999072219766,11,10.0,0.6,0.6,10,101
4,44.04314989544783,1.8776243519353621,8,10.0,0.6,0.6,10,101
5,41.53450466200482,1.8696947851049806,10,10.0,0.6,0.6,10,101
6,42.50726047449489,1.6483961763541777,9,10.0,0.6,0.6,10,101
7,38.66760722384683,1.4509325683684604,12,10.0,0.6,0.6,10,101
8,45.09221633522154,2.141357555167287,8,10.0,0.6,0.6,10,101
9,38.986355660020635,1.2539337886408772,12,10.0,0.6,0.6,10,101
10,43.60190672921438,1.6662174910768863,8,10.0,0.6,0.6,10,101
1,32.44649159696083,1.6228665892920728,8,10.0,0.7,0.7,10,101
2,32.436402365586765,1.3059519809552267,8,10.0,0.7,0.7,10,101
3,29.307365078233868,0.8603678979340241,12,10.0,0.7,0.7,10,101
4,29.345230737746803,1.5445737947696367,13,10.0,0.7,0.7,10,101
5,33.75999798006861,1.7460470505860113,8,10.0,0.7,0.7,10,101
6,31.180731731289004,1.5322497258480015,10,10.0,0.7,0.7,10,101
7,29.956849720268824,1.2587660598818795,12,10.0,0.7,0.7,10,101
8,30.62977959354963,1.7875062964528943,11,10.0,0.7,0.7,10,101
9,31.100074489493984,1.3511963586038116,10,10.0,0.7,0.7,10,101
10,31.36097459281154,1.6289345646222793,9,10.0,0.7,0.7,10,101
1,20.03996921947624,0.6957214800710931,13,10.0,0.8,0.8,10,101
2,19.967851253135684,1.8080366720486571,12,10.0,0.8,0.8,10,101
3,20.712473909662897,1.036584436025188,11,10.0,0.8,0.8,10,101
4,21.26600573703901,1.1366694235105392,10,10.0,0.8,0.8,10,101
5,21.542292533843092,0.5459789138204665,9,10.0,0.8,0.8,10,101
6,21.2082802530287,1.0623144932079158,10,10.0,0.8,0.8,10,101
7,21.83734703917145,1.318520465505812,7,10.0,0.8,0.8,10,101
8,19.71282086817046,1.487615320161755,16,10.0,0.8,0.8,10,101
9,22.260461861839563,2.391803629330421,5,10.0,0.8,0.8,10,101
10,22.310939465268987,1.8060178565450797,8,10.0,0.8,0.8,10,101
1,11.8909767204023,0.5939933906821727,14,10.0,0.9,0.9,10,101
2,12.0766513622993,0.5548949580134674,7,10.0,0.9,0.9,10,101
3,12.521785893128763,0.9641643143852642,6,10.0,0.9,0.9,10,101
4,12.137618666449928,0.5390198579753689,12,10.0,0.9,0.9,10,101
5,12.22514465704287,0.48430679573710317,12,10.0,0.9,0.9,10,101
6,12.13832663563216,0.5205188037765233,8,10.0,0.9,0.9,10,101
7,12.119435005425709,0.6972463124575612,12,10.0,0.9,0.9,10,101
8,12.013144378411399,0.48249090415751467,14,10.0,0.9,0.9,10,101
9,12.28930353702025,0.4228777434943106,4,10.0,0.9,0.9,10,101
10,11.920110253953128,0.5150671792144145,12,10.0,0.9,0.9,10,101
1,119.85877525252539,1.4838451590433177,8,20.0,0.1,0.1,20,101
2,185.07325396825266,2.22414310049821,5,20.0,0.1,0.1,20,101
4,107.37710838544223,1.3021569048381683,9,20.0,0.1,0.1,20,101
5,227.75367063492,3.146106931983619,4,20.0,0.1,0.1,20,101
6,118.8581394300147,1.1286938190390208,8,20.0,0.1,0.1,20,101
7,120.238455988456,2.0236376050431084,8,20.0,0.1,0.1,20,101
8,157.07363516113463,2.1956634125051577,6,20.0,0.1,0.1,20,101
9,226.97093253968188,2.131284825609501,4,20.0,0.1,0.1,20,101
10,185.59215007214877,3.6183984012580974,5,20.0,0.1,0.1,20,101
11,225.71765873015806,3.3582704383650706,4,20.0,0.1,0.1,20,101
12,293.0012025012026,1.1064558737837171,3,20.0,0.1,0.1,20,101
13,185.0910317460304,2.306018647314751,5,20.0,0.1,0.1,20,101
14,184.4558730158715,2.1812259285543716,5,20.0,0.1,0.1,20,101
15,136.0794063079774,1.2594339143100617,7,20.0,0.1,0.1,20,101
16,155.971418396418,2.3632693475092954,6,20.0,0.1,0.1,20,101
17,185.4470634920619,3.0525755103120717,5,20.0,0.1,0.1,20,101
18,290.6578162578165,5.659163319636254,3,20.0,0.1,0.1,20,101
19,226.6148809523803,3.310343266711488,4,20.0,0.1,0.1,20,101
1,126.36985118056577,2.3486556157332834,7,20.0,0.2,0.2,20,101
2,164.87771284271233,1.5823093365632632,5,20.0,0.2,0.2,20,101
3,142.20882635882649,3.0906757314082696,6,20.0,0.2,0.2,20,101
4,167.67293650793593,4.243017254355662,5,20.0,0.2,0.2,20,101
5,91.986505716506,2.025118134814107,10,20.0,0.2,0.2,20,101
6,165.77614718614643,3.1973743144849633,5,20.0,0.2,0.2,20,101
7,250.75146705146733,6.611167127902206,3,20.0,0.2,0.2,20,101
8,167.92526695526618,2.7996487643289663,5,20.0,0.2,0.2,20,101
9,327.86273448773386,8.810213776069425,2,20.0,0.2,0.2,20,101
10,142.55689356939362,2.837538065640709,6,20.0,0.2,0.2,20,101
