value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
1,141.26676098955505,2.2182482076248156,6,5.0,0.1,0.1,5,50.0,50,51.0,51
2,99.44119414536122,1.2979566712423682,9,5.0,0.1,0.1,5,50.0,50,51.0,51
3,77.5166887578658,1.0896737269122887,12,5.0,0.1,0.1,5,50.0,50,51.0,51
4,67.39780132271343,0.4792881324700838,14,5.0,0.1,0.1,5,50.0,50,51.0,51
5,91.42404179154221,1.4450055037195766,10,5.0,0.1,0.1,5,50.0,50,51.0,51
1,87.90513838013881,1.8341652199692324,9,5.0,0.2,0.2,5,25.0,25,51.0,51
2,59.20208018532378,1.0867760588497752,15,5.0,0.2,0.2,5,25.0,25,51.0,51
3,82.08246216202144,1.0291289214175012,10,5.0,0.2,0.2,5,25.0,25,51.0,51
4,96.8497652566736,1.3981354814178764,8,5.0,0.2,0.2,5,25.0,25,51.0,51
5,88.7366701200039,1.5050950824927245,9,5.0,0.2,0.2,5,25.0,25,51.0,51
1,71.49883560883613,1.895165270209457,10,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,51.0,51
2,82.80971511127791,2.327031634742945,8,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,51.0,51
3,77.04327298518524,1.390662435569699,9,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,51.0,51
4,75.61727625134534,1.9439175624896374,9,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,51.0,51
5,54.217023189515935,0.9737565904595503,15,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,51.0,51
1,69.3547179842221,2.067394917374884,8,5.0,0.4,0.4,5,12.5,12.5,51.0,51
2,61.599566211223085,2.1671693346171534,10,5.0,0.4,0.4,5,12.5,12.5,51.0,51
3,61.26906079910854,1.6192700998307201,10,5.0,0.4,0.4,5,12.5,12.5,51.0,51
4,56.386878951372495,1.7151291760044407,12,5.0,0.4,0.4,5,12.5,12.5,51.0,51
5,58.29138373353878,1.8956363688337934,11,5.0,0.4,0.4,5,12.5,12.5,51.0,51
1,46.275453811265926,1.219892611689538,13,5.0,0.5,0.5,5,10.0,10,51.0,51
