value,m,s,n,n_arms,eps,f_eps,f_n_arms
1,56.065576124238945,0.44884957316996554,16,5.0,0.1,0.1,5
2,44.37969306500459,0.5055651202326675,21,5.0,0.1,0.1,5
3,39.60071766698085,0.37363721657694715,24,5.0,0.1,0.1,5
4,55.97489893025037,0.6338323926745125,16,5.0,0.1,0.1,5
5,39.73162600142588,0.43485978094902406,24,5.0,0.1,0.1,5
