value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
1,8.354982629279531,0.09007231865343104,110,5.0,0.1,0.1,5,50.0,50,501.0,501
2,8.847977052706034,0.09007701967095559,103,5.0,0.1,0.1,5,50.0,50,501.0,501
3,9.156949508958151,0.09757488224169235,99,5.0,0.1,0.1,5,50.0,50,501.0,501
4,11.347339136156428,0.10318024412939118,77,5.0,0.1,0.1,5,50.0,50,501.0,501
5,8.237394684901801,0.08443566981078005,112,5.0,0.1,0.1,5,50.0,50,501.0,501
1,7.596181718160928,0.11565030633943285,109,5.0,0.2,0.2,5,25.0,25,501.0,501
2,8.20576832286007,0.13604557283614713,98,5.0,0.2,0.2,5,25.0,25,501.0,501
3,7.784691936202744,0.11455517111728458,105,5.0,0.2,0.2,5,25.0,25,501.0,501
4,8.491743866398584,0.12621131513198539,94,5.0,0.2,0.2,5,25.0,25,501.0,501
5,8.403871568511956,0.14867827162664465,95,5.0,0.2,0.2,5,25.0,25,501.0,501
1,7.332463721402368,0.15492551363852136,95,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,501.0,501
2,7.098430765507429,0.150725472198471,100,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,501.0,501
3,7.162964091458312,0.1571890082262682,98,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,501.0,501
4,6.829663126440096,0.13984855162718002,106,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,501.0,501
5,6.994415063868486,0.1469084031543538,102,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,501.0,501
1,6.146480286162056,0.14526905389563294,98,5.0,0.4,0.4,5,12.5,12.5,501.0,501
2,6.2025839716972175,0.15780554535502908,96,5.0,0.4,0.4,5,12.5,12.5,501.0,501
3,6.024924575869591,0.17595228742614685,102,5.0,0.4,0.4,5,12.5,12.5,501.0,501
4,5.8912217283623045,0.15414998028616866,106,5.0,0.4,0.4,5,12.5,12.5,501.0,501
5,6.133727638501261,0.1810827835316096,99,5.0,0.4,0.4,5,12.5,12.5,501.0,501
1,5.161999280300827,0.163280763414414,95,5.0,0.5,0.5,5,10.0,10,501.0,501
2,5.14912580702045,0.17177413560100993,96,5.0,0.5,0.5,5,10.0,10,501.0,501
3,4.949064712055146,0.13806920537904321,107,5.0,0.5,0.5,5,10.0,10,501.0,501
4,5.308829100184087,0.15863692984055053,89,5.0,0.5,0.5,5,10.0,10,501.0,501
5,4.8304746406512145,0.16029710184879647,114,5.0,0.5,0.5,5,10.0,10,501.0,501
1,4.125178549777188,0.170245634728573,95,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,501.0,501
2,4.058613796877305,0.1639599169312912,102,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,501.0,501
3,4.0155081984870575,0.16045931286418202,104,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,501.0,501
4,3.9924924719285166,0.14869784411081452,107,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,501.0,501
5,4.1684594908166455,0.15515483487811849,93,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,501.0,501
1,3.0702395821119564,0.1475443878512172,101,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,501.0,501
2,3.063425018903559,0.14655039016313226,101,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,501.0,501
3,3.0926675538815362,0.13786583460106497,91,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,501.0,501
4,3.0935872152462,0.15601581873117984,99,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,501.0,501
5,3.0474953692234372,0.14091912644120108,109,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,501.0,501
1,2.2106657524578535,0.06866092915903439,95,5.0,0.8,0.8,5,6.25,6.25,501.0,501
2,2.2040429986380716,0.07627678586623138,103,5.0,0.8,0.8,5,6.25,6.25,501.0,501
3,2.2051022467944956,0.07328483858476514,98,5.0,0.8,0.8,5,6.25,6.25,501.0,501
4,2.209294117710154,0.06595463138394778,113,5.0,0.8,0.8,5,6.25,6.25,501.0,501
5,2.2207362304023586,0.07147317217263945,92,5.0,0.8,0.8,5,6.25,6.25,501.0,501
1,2.4475539199337923,0.07582568084844363,98,5.0,0.9,0.9,5,5.555555555555555,5.55555555555556,501.0,501
