n_arms,eps,rewards,avg_rewards
5.0,0.1,24.321996810709297,4.864399362141859
5.0,0.1,28.33205071540672,5.666410143081344
5.0,0.1,26.07570695887655,5.21514139177531
5.0,0.1,27.668190498727057,5.533638099745412
5.0,0.1,22.356022265913086,4.471204453182618
5.0,0.1,28.271023818852,5.6542047637704
5.0,0.1,28.212773971337516,5.642554794267503
5.0,0.1,27.741144894698106,5.548228978939621
5.0,0.1,28.372789054951873,5.6745578109903745
5.0,0.1,24.21086486766755,4.84217297353351
5.0,0.1,27.739923698776256,5.547984739755251
5.0,0.1,24.23826925098618,4.847653850197236
5.0,0.1,22.411293454071693,4.482258690814339
5.0,0.1,26.044181649904186,5.208836329980837
5.0,0.1,27.638812057536537,5.527762411507307
5.0,0.1,28.39453607035027,5.678907214070054
5.0,0.1,24.256716397013594,4.85134327940272
5.0,0.1,24.234661293923565,4.8469322587847135
5.0,0.1,24.33012673507364,4.8660253470147286
5.0,0.1,22.36436514643983,4.472873029287967
5.0,0.1,22.35476389434847,4.4709527788696946
5.0,0.1,24.35549799755955,4.8710995995119095
5.0,0.1,26.06957802475132,5.213915604950263
5.0,0.1,26.076321404565583,5.215264280913117
5.0,0.1,28.318551615551456,5.6637103231102905
5.0,0.1,27.77084965888491,5.554169931776982
5.0,0.1,22.458522195101132,4.491704439020227
5.0,0.1,27.747631227728935,5.5495262455457866
5.0,0.1,26.072725028142433,5.214545005628486
5.0,0.1,26.06722731571687,5.213445463143374
5.0,0.1,27.803649175208555,5.560729835041711
5.0,0.1,28.35619271144825,5.67123854228965
5.0,0.1,24.311181564400066,4.862236312880013
5.0,0.1,22.473543930305166,4.494708786061033
5.0,0.1,25.99044374187749,5.198088748375498
5.0,0.1,24.345723479607766,4.869144695921554
5.0,0.1,26.099715223658745,5.219943044731749
5.0,0.1,22.42097944146162,4.484195888292324
5.0,0.1,22.3815637784677,4.47631275569354
5.0,0.1,22.366811430514524,4.473362286102905
5.0,0.1,28.294271874690484,5.658854374938097
5.0,0.1,22.47078611691855,4.49415722338371
5.0,0.1,22.385487856151716,4.477097571230344
5.0,0.1,24.26504542025274,4.853009084050548
5.0,0.1,22.308315483747887,4.461663096749577
5.0,0.1,24.408545298293042,4.881709059658609
5.0,0.1,27.664558861697312,5.532911772339463
5.0,0.1,26.076090121702318,5.215218024340464
5.0,0.1,27.588951770316896,5.517790354063379
5.0,0.1,22.44304162829493,4.488608325658986
5.0,0.1,28.317749294585486,5.663549858917097
5.0,0.1,24.300366052552114,4.860073210510423
5.0,0.1,26.066629718282222,5.213325943656445
5.0,0.1,24.28410959802056,4.856821919604112
5.0,0.1,24.261883230330398,4.852376646066079
5.0,0.1,27.686378802269815,5.537275760453962
5.0,0.1,22.448239565841686,4.489647913168337
5.0,0.1,24.27749035829175,4.85549807165835
5.0,0.1,24.353983802503176,4.870796760500635
5.0,0.1,24.298350005775752,4.85967000115515
5.0,0.1,26.06017018672165,5.2120340373443295
5.0,0.1,28.178437870344737,5.635687574068948
5.0,0.1,28.29857841814439,5.659715683628878
5.0,0.1,27.72193661024828,5.544387322049657
5.0,0.1,27.671134999335287,5.534226999867057
5.0,0.1,25.980931618105497,5.1961863236211
5.0,0.1,22.41492616239066,4.482985232478132
5.0,0.1,22.350370925040203,4.47007418500804
5.0,0.1,28.253816098050184,5.650763219610037
5.0,0.1,22.516910341020097,4.5033820682040195
5.0,0.1,27.66531402411492,5.5330628048229835
5.0,0.1,26.059027850009834,5.2118055700019665
5.0,0.1,27.7586387919977,5.55172775839954
5.0,0.1,24.32948295207838,4.865896590415676
5.0,0.1,26.111837036104,5.2223674072207995
5.0,0.1,26.054971607795594,5.210994321559118
5.0,0.1,28.312418325757285,5.662483665151457
5.0,0.1,22.46587597143997,4.493175194287994
5.0,0.1,27.70991271592748,5.541982543185496
5.0,0.1,27.635110106447623,5.5270220212895245
