value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
1,458.7999999999988,6.576093065034739,2,5.0,0.1,0.1,5,50.0,50,11.0,11
2,462.53333333333256,3.6769552621700794,2,5.0,0.1,0.1,5,50.0,50,11.0,11
3,463.1249999999991,4.160144895980809,2,5.0,0.1,0.1,5,50.0,50,11.0,11
4,456.6749999999991,4.325136478257641,2,5.0,0.1,0.1,5,50.0,50,11.0,11
5,319.5444444444441,1.714831813370596,3,5.0,0.1,0.1,5,50.0,50,11.0,11
1,408.8416666666657,10.052701405868651,2,5.0,0.2,0.2,5,25.0,25,11.0,11
3,406.5749999999987,16.793786053180224,2,5.0,0.2,0.2,5,25.0,25,11.0,11
4,409.89999999999884,9.875924710571974,2,5.0,0.2,0.2,5,25.0,25,11.0,11
5,191.11619047618973,3.9566397737624954,5,5.0,0.2,0.2,5,25.0,25,11.0,11
2,217.69702380952424,6.797594828022408,4,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,11.0,11
3,268.85238095238145,7.895163779878604,3,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,11.0,11
4,348.0428571428565,29.91061684419081,2,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,11.0,11
2,238.92619047619115,10.099518690402002,3,5.0,0.4,0.4,5,12.5,12.5,11.0,11
3,244.12857142857195,18.647281601110535,3,5.0,0.4,0.4,5,12.5,12.5,11.0,11
4,308.8749999999998,13.022549886851982,2,5.0,0.4,0.4,5,12.5,12.5,11.0,11
5,289.15833333333353,0.6717514421272122,2,5.0,0.4,0.4,5,12.5,12.5,11.0,11
1,178.0949404761904,9.240802324635354,4,5.0,0.5,0.5,5,10.0,10,11.0,11
3,181.38869047619056,7.346394618375015,4,5.0,0.5,0.5,5,10.0,10,11.0,11
4,239.8416666666672,9.86413959755235,2,5.0,0.5,0.5,5,10.0,10,11.0,11
2,184.35714285714295,3.387378199398459,2,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,11.0,11
3,181.74166666666684,6.411101482758008,2,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,11.0,11
4,188.32619047619056,8.273149339882538,2,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,11.0,11
5,149.24702380952374,8.33434854927135,4,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,11.0,11
2,125.16388888888882,3.361262529150563,3,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,11.0,11
3,134.37142857142848,7.525636456913987,2,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,11.0,11
4,131.03928571428565,5.180398965978627,2,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,11.0,11
5,129.54470899470886,4.2159933118156605,3,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,11.0,11
3,92.83244047619047,3.4728602191639903,4,5.0,0.8,0.8,5,6.25,6.25,11.0,11
5,93.35178571428567,2.277487986930397,4,5.0,0.8,0.8,5,6.25,6.25,11.0,11
2,104.42761904761899,5.541783053353006,5,5.0,0.9,0.9,5,5.555555555555555,5.55555555555556,11.0,11
3,99.8130952380952,0.1245854804947584,2,5.0,0.9,0.9,5,5.555555555555555,5.55555555555556,11.0,11
4,103.98888888888885,2.3967763844458023,3,5.0,0.9,0.9,5,5.555555555555555,5.55555555555556,11.0,11
1,478.8333333333327,1.0606601717798614,2,10.0,0.1,0.1,10,100.0,100,11.0,11
3,481.1416666666663,4.20728534805999,2,10.0,0.1,0.1,10,100.0,100,11.0,11
5,484.12499999999955,3.005203820042827,2,10.0,0.1,0.1,10,100.0,100,11.0,11
6,486.74999999999955,13.670731102939826,2,10.0,0.1,0.1,10,100.0,100,11.0,11
9,483.7083333333328,17.972297355158055,2,10.0,0.1,0.1,10,100.0,100,11.0,11
9,244.88333333333412,3.486933280649849,4,10.0,0.2,0.2,10,50.0,50,11.0,11
5,304.3222222222223,17.212449736336637,3,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,11.0,11
9,412.3583333333328,6.305035465580022,2,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,11.0,11
4,369.4166666666662,6.59966329107443,2,10.0,0.4,0.4,10,25.0,25,11.0,11
5,371.01666666666625,1.8856180831640998,2,10.0,0.4,0.4,10,25.0,25,11.0,11
9,364.95833333333326,7.1299933769643005,2,10.0,0.4,0.4,10,25.0,25,11.0,11
2,312.08333333333337,9.923065162651074,2,10.0,0.5,0.5,10,20.0,20,11.0,11
4,300.30000000000007,2.82842712474611,2,10.0,0.5,0.5,10,20.0,20,11.0,11
8,304.0833333333334,7.566042558696011,2,10.0,0.5,0.5,10,20.0,20,11.0,11
2,237.83333333333354,0.4006938426724345,2,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,11.0,11
