value,m,s,n,n_arms,eps,f_eps,f_n_arms
2,12.80776620252173,0.35658456721684334,19,5.0,0.9,0.9,5
3,12.998021664737234,0.417545169960445,26,5.0,0.9,0.9,5
4,12.83610051915698,0.3893882464848055,21,5.0,0.9,0.9,5
5,12.925742538357488,0.2943762554167206,12,5.0,0.9,0.9,5
1,92.27410759991682,0.9923711465330678,10,10.0,0.1,0.1,10
2,92.12069320385524,1.3015907522801227,10,10.0,0.1,0.1,10
3,142.8254192394865,1.7969703786639493,6,10.0,0.1,0.1,10
4,63.81549264776115,0.7167341435329659,15,10.0,0.1,0.1,10
5,72.68957555106711,0.8103869496246596,13,10.0,0.1,0.1,10
6,100.88005797760736,1.0170086359979538,9,10.0,0.1,0.1,10
7,101.2876257094398,1.257832740599624,9,10.0,0.1,0.1,10
8,91.92985005190923,1.218776371575578,10,10.0,0.1,0.1,10
9,112.34274232711759,1.5057526491073219,8,10.0,0.1,0.1,10
10,84.93329023136272,0.9619581767456359,11,10.0,0.1,0.1,10
1,121.36094229844271,2.527728084764173,6,10.0,0.2,0.2,10
2,89.10973188032052,0.7929224852330694,9,10.0,0.2,0.2,10
3,82.24380525906894,1.6660456362439546,10,10.0,0.2,0.2,10
4,63.156857124214575,0.6882105627130528,14,10.0,0.2,0.2,10
5,76.99619596832214,1.007458446276243,11,10.0,0.2,0.2,10
6,83.37708334750963,1.3903389177217866,10,10.0,0.2,0.2,10
7,89.44039697545927,1.6089529303436898,9,10.0,0.2,0.2,10
8,71.41487761965762,1.0128978364222796,12,10.0,0.2,0.2,10
9,98.98345399977593,1.3766895390397333,8,10.0,0.2,0.2,10
10,71.37398842306993,1.063009727058105,12,10.0,0.2,0.2,10
1,57.00196274129875,1.1122898135341899,14,10.0,0.3,0.3,10
2,101.09371382974359,3.1516653898513303,6,10.0,0.3,0.3,10
3,71.49507615922144,1.6294577416794405,10,10.0,0.3,0.3,10
4,64.54079427731767,1.1949669457629493,12,10.0,0.3,0.3,10
5,84.83094553472885,2.8391233271080853,8,10.0,0.3,0.3,10
6,72.6572535509731,1.9634834231876537,10,10.0,0.3,0.3,10
7,63.3392213153926,1.2165852508342492,12,10.0,0.3,0.3,10
8,84.52746390660026,1.8182835533435329,8,10.0,0.3,0.3,10
9,54.651431279743164,1.092879947948426,15,10.0,0.3,0.3,10
10,100.65453181078206,1.7921062858252526,6,10.0,0.3,0.3,10
1,70.9932498057502,2.0022724172035593,8,10.0,0.4,0.4,10
2,66.30803796784237,2.67452230146487,9,10.0,0.4,0.4,10
3,44.908945431291755,1.0584576154212895,17,10.0,0.4,0.4,10
4,71.03260473186978,2.440374168773871,8,10.0,0.4,0.4,10
5,74.83401728990002,1.4687122003774302,7,10.0,0.4,0.4,10
6,53.689906597200434,1.288044205072057,13,10.0,0.4,0.4,10
7,66.07329587623754,1.0643239144614545,9,10.0,0.4,0.4,10
8,62.55576173053001,1.397204677552759,10,10.0,0.4,0.4,10
9,77.01797045158436,1.405777708579679,7,10.0,0.4,0.4,10
10,53.38092747267594,1.3883570027273675,13,10.0,0.4,0.4,10
1,50.45835055467441,2.3386639133848344,11,10.0,0.5,0.5,10
2,43.02443940501373,1.090842297199866,15,10.0,0.5,0.5,10
3,60.60906953690607,1.8035602239273376,7,10.0,0.5,0.5,10
4,54.813155553597085,1.917489259834858,9,10.0,0.5,0.5,10
5,53.338053215704484,1.0524564553967404,10,10.0,0.5,0.5,10
6,52.452538686803685,1.5365402675753663,10,10.0,0.5,0.5,10
7,64.2912211154862,1.647500125474982,6,10.0,0.5,0.5,10
8,54.70588577134019,2.461939750824101,9,10.0,0.5,0.5,10
9,52.087182888920864,1.5084352852784595,10,10.0,0.5,0.5,10
10,44.5053390436658,1.7902671771356975,14,10.0,0.5,0.5,10
1,45.39214782358184,1.5145017011579276,8,10.0,0.6,0.6,10
2,39.72298716612778,2.1195950568490822,12,10.0,0.6,0.6,10
3,47.302707819111156,1.4707560930235022,7,10.0,0.6,0.6,10
4,42.48573858331228,1.7675829854795422,10,10.0,0.6,0.6,10
5,39.44030583458809,1.1920484541357241,12,10.0,0.6,0.6,10
6,41.90166923075221,1.729009551467352,10,10.0,0.6,0.6,10
7,47.337100679432865,1.7971899593245004,7,10.0,0.6,0.6,10
8,38.44819013975373,1.4244597980546851,13,10.0,0.6,0.6,10
9,42.626093615706786,1.8298738030035113,10,10.0,0.6,0.6,10
10,39.144822861463844,1.4304067728553813,12,10.0,0.6,0.6,10
1,32.34991036225558,2.085706001708195,9,10.0,0.7,0.7,10
2,32.99446633470111,1.1536007995738158,9,10.0,0.7,0.7,10
3,31.991133934435013,1.0711996412958342,10,10.0,0.7,0.7,10
4,30.0450521439477,1.7088849445624679,13,10.0,0.7,0.7,10
5,32.194647318434704,0.8195070589799709,9,10.0,0.7,0.7,10
6,31.807003802011522,1.390611379003827,10,10.0,0.7,0.7,10
7,31.288503529923787,1.410199490919128,10,10.0,0.7,0.7,10
8,32.5026178236753,1.8701915592508322,8,10.0,0.7,0.7,10
9,31.369345064979722,2.2697456597136076,10,10.0,0.7,0.7,10
10,30.028573980529796,1.5693919534960423,13,10.0,0.7,0.7,10
1,21.315383845846018,0.9720147707017069,7,10.0,0.8,0.8,10
2,20.650625162089934,1.7723518130065505,12,10.0,0.8,0.8,10
3,21.032347159562715,1.2531429409005377,12,10.0,0.8,0.8,10
4,20.909902895712992,1.4644966410077502,9,10.0,0.8,0.8,10
5,21.096679360003098,1.5167047320096183,14,10.0,0.8,0.8,10
6,22.664308838037023,2.006857850301496,7,10.0,0.8,0.8,10
7,22.596422318544015,0.7911364912406824,8,10.0,0.8,0.8,10
8,21.841286234327306,1.0305434312032264,11,10.0,0.8,0.8,10
9,20.99993559381522,1.5515280292925442,11,10.0,0.8,0.8,10
10,21.98349288138761,1.3705107986482463,10,10.0,0.8,0.8,10
1,12.649624320897534,0.47174226828514937,10,10.0,0.9,0.9,10
2,12.748495745310755,0.7040130524639365,10,10.0,0.9,0.9,10
3,12.68956669548774,0.8492824770972099,6,10.0,0.9,0.9,10
4,12.71839254193981,0.3829429761378301,13,10.0,0.9,0.9,10
5,12.559034149176778,0.5237672648226052,7,10.0,0.9,0.9,10
6,12.415723431814564,0.41871483017038924,7,10.0,0.9,0.9,10
7,12.66111985475199,0.3753465068812212,11,10.0,0.9,0.9,10
8,12.500660667734962,0.49375387743280047,15,10.0,0.9,0.9,10
9,12.606326406842394,0.4920931417554524,9,10.0,0.9,0.9,10
10,12.67844520592793,0.46530426095975597,13,10.0,0.9,0.9,10
1,293.7466931216932,1.694295388286733,3,20.0,0.1,0.1,20
2,295.25782828282826,3.002518289120544,3,20.0,0.1,0.1,20
3,291.2297619047621,2.9141246075829326,3,20.0,0.1,0.1,20
4,135.7010770975056,1.8408085411567914,7,20.0,0.1,0.1,20
5,226.2377976190469,5.021579601298457,4,20.0,0.1,0.1,20
6,185.47420634920513,2.0025319581749037,5,20.0,0.1,0.1,20
7,155.21210317460287,2.731346534132611,6,20.0,0.1,0.1,20
8,184.97904761904633,2.1132056644519617,5,20.0,0.1,0.1,20
9,135.71245104102223,1.1414460652897018,7,20.0,0.1,0.1,20
10,184.78976190476058,2.0205504298161454,5,20.0,0.1,0.1,20
11,416.74702380952243,7.878348053720026,2,20.0,0.1,0.1,20
12,156.97976190476143,1.9936833987829523,6,20.0,0.1,0.1,20
13,156.53318070818,2.3352077066777994,6,20.0,0.1,0.1,20
14,156.31355820105776,1.962017632634805,6,20.0,0.1,0.1,20
15,157.1323532948528,1.3651339973433534,6,20.0,0.1,0.1,20
16,135.81500206143042,1.7005488302694862,7,20.0,0.1,0.1,20
17,157.05480399230336,1.660514976700916,6,20.0,0.1,0.1,20
18,185.3182539682527,1.9800533181217248,5,20.0,0.1,0.1,20
19,155.41562049061994,2.2953017492395515,6,20.0,0.1,0.1,20
20,293.65753968253983,8.749367675024851,3,20.0,0.1,0.1,20
1,330.53343253968205,5.011619311659519,2,20.0,0.2,0.2,20
2,199.84255952380875,4.668783560186494,4,20.0,0.2,0.2,20
3,331.22301587301513,1.9484720192695806,2,20.0,0.2,0.2,20
4,199.7444444444439,6.226680869670768,4,20.0,0.2,0.2,20
5,248.37910052910098,5.865792699029736,3,20.0,0.2,0.2,20
6,125.68779633065385,2.1910759006842593,7,20.0,0.2,0.2,20
7,167.56103174603112,2.206603477554483,5,20.0,0.2,0.2,20
8,141.71098484848497,3.8447701711295146,6,20.0,0.2,0.2,20
9,196.9211309523805,4.547636330786576,4,20.0,0.2,0.2,20
10,202.32410714285646,3.0933673184990513,4,20.0,0.2,0.2,20
11,93.00303835053882,0.8541994486613025,10,20.0,0.2,0.2,20
12,252.51256613756638,8.169517800368327,3,20.0,0.2,0.2,20
13,92.10625929625968,1.5607142081821015,10,20.0,0.2,0.2,20
14,144.13114663114663,2.4212446973725696,6,20.0,0.2,0.2,20
15,125.34773242630409,2.8200634957731565,7,20.0,0.2,0.2,20
16,125.45477221191551,2.6127911021988903,7,20.0,0.2,0.2,20
17,200.12410714285636,3.3814779067032807,4,20.0,0.2,0.2,20
18,165.95865301365268,3.415458775400137,5,20.0,0.2,0.2,20
19,248.38624338624376,6.839710355315198,3,20.0,0.2,0.2,20
20,166.82047619047577,4.432359522990181,5,20.0,0.2,0.2,20
1,128.30615680615725,4.068447192723229,6,20.0,0.3,0.3,20
2,94.59705572205598,1.6454379223320583,9,20.0,0.3,0.3,20
3,128.23137926887975,4.145606567802566,6,20.0,0.3,0.3,20
4,206.0943121693122,4.535664800889214,3,20.0,0.3,0.3,20
5,94.14456037789397,1.04965184522735,9,20.0,0.3,0.3,20
6,128.93342953342994,3.2840079169663654,6,20.0,0.3,0.3,20
7,127.9230519480523,2.8062103696744782,6,20.0,0.3,0.3,20
8,148.50083694083685,4.835555606709673,5,20.0,0.3,0.3,20
9,208.4441919191916,7.730358560093265,3,20.0,0.3,0.3,20
10,206.2988095238093,0.5706742430762571,3,20.0,0.3,0.3,20
11,86.78333305583345,2.1855560573966075,10,20.0,0.3,0.3,20
12,167.45143398268354,4.142409838981498,4,20.0,0.3,0.3,20
13,148.79555555555558,4.977880695392338,5,20.0,0.3,0.3,20
14,206.47091149591125,3.1516510750609745,3,20.0,0.3,0.3,20
15,270.1793650793653,10.968011850404556,2,20.0,0.3,0.3,20
16,128.4673298923303,2.83031108478056,6,20.0,0.3,0.3,20
17,260.60376984127026,6.372659566479152,2,20.0,0.3,0.3,20
18,169.9806006493504,6.625859861512789,4,20.0,0.3,0.3,20
19,149.04682539682526,5.339058762496098,5,20.0,0.3,0.3,20
20,171.07897727272683,5.299267976840162,4,20.0,0.3,0.3,20
1,79.49774253524276,2.03814673107861,10,20.0,0.4,0.4,20
2,145.84362373737372,4.358178631009735,4,20.0,0.4,0.4,20
3,126.66817460317488,6.748948397269656,5,20.0,0.4,0.4,20
4,129.11304473304503,3.8344438310919204,5,20.0,0.4,0.4,20
5,142.47176226551235,5.448593799375055,4,20.0,0.4,0.4,20
6,126.02297258297278,3.544728850576227,5,20.0,0.4,0.4,20
7,128.1274381174385,3.3790185918128532,5,20.0,0.4,0.4,20
8,126.41033855033878,4.002653268776498,5,20.0,0.4,0.4,20
9,143.2796897546897,6.536224177375818,4,20.0,0.4,0.4,20
10,114.62665667665705,3.7200227284044067,6,20.0,0.4,0.4,20
11,175.50939153439143,3.4981403729866742,3,20.0,0.4,0.4,20
12,94.00435155122685,3.436652524121232,8,20.0,0.4,0.4,20
13,112.64268879268919,3.1422310383799106,6,20.0,0.4,0.4,20
14,143.67069805194814,3.2158912596431453,4,20.0,0.4,0.4,20
16,113.29129990380035,4.717921979656521,6,20.0,0.4,0.4,20
17,170.56296296296279,10.86510168708882,3,20.0,0.4,0.4,20
18,101.40862193362223,4.267066901587074,7,20.0,0.4,0.4,20
19,102.23290558647732,3.036590642732966,7,20.0,0.4,0.4,20
20,169.7644420394419,2.883418552572667,3,20.0,0.4,0.4,20
1,135.84844877344887,3.9600687805626347,3,20.0,0.5,0.5,20
2,75.61326944660301,1.752100921203843,9,20.0,0.5,0.5,20
3,71.37100066600104,2.3072381053453452,10,20.0,0.5,0.5,20
4,107.09687590187605,2.243946370714758,5,20.0,0.5,0.5,20
5,131.43664021164034,6.009136435462921,3,20.0,0.5,0.5,20
6,119.59216269841295,5.734008844968528,4,20.0,0.5,0.5,20
7,87.97214491857376,2.4667999062044244,7,20.0,0.5,0.5,20
8,121.46812146187162,3.541433253487774,4,20.0,0.5,0.5,20
9,119.00002705627716,1.3425981822594555,4,20.0,0.5,0.5,20
10,88.9159082980514,3.559037699799068,7,20.0,0.5,0.5,20
11,119.44874639249659,10.367074837972535,4,20.0,0.5,0.5,20
12,104.46626262626285,5.728894616097411,5,20.0,0.5,0.5,20
13,152.36865079365072,4.040610178208849,2,20.0,0.5,0.5,20
15,95.92079124579146,2.9984431750284086,6,20.0,0.5,0.5,20
16,87.61121933621962,2.616807884382415,7,20.0,0.5,0.5,20
17,96.73160173160198,2.806427314912505,6,20.0,0.5,0.5,20
18,129.26497715247723,9.979713526872361,3,20.0,0.5,0.5,20
19,108.28614718614749,2.9686268294166833,5,20.0,0.5,0.5,20
20,95.20888047138072,4.227288000021242,6,20.0,0.5,0.5,20
1,70.31075278887796,1.6294576078488352,8,20.0,0.6,0.6,20
3,79.85367965367985,4.217709656821442,6,20.0,0.6,0.6,20
4,92.3615974303476,7.825242051499287,4,20.0,0.6,0.6,20
5,79.34421874421892,2.8312960086559427,6,20.0,0.6,0.6,20
