value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
1,4.36695313174727,0.04528535967305059,209,5.0,0.1,0.1,5,50.0,50,1001.0,1001
2,4.8094971005225755,0.04753673588479072,187,5.0,0.1,0.1,5,50.0,50,1001.0,1001
3,4.346166086370166,0.04692497676137362,210,5.0,0.1,0.1,5,50.0,50,1001.0,1001
4,4.705534991948465,0.051426281264424625,192,5.0,0.1,0.1,5,50.0,50,1001.0,1001
5,4.482617609339142,0.04264724065932233,203,5.0,0.1,0.1,5,50.0,50,1001.0,1001
1,3.9093941110945516,0.059230531210745375,209,5.0,0.2,0.2,5,25.0,25,1001.0,1001
2,4.040307699026256,0.062914847777752,200,5.0,0.2,0.2,5,25.0,25,1001.0,1001
3,4.0353289520108815,0.0604873461041658,200,5.0,0.2,0.2,5,25.0,25,1001.0,1001
4,3.9193518921257167,0.06112458205405993,208,5.0,0.2,0.2,5,25.0,25,1001.0,1001
5,4.292890414137476,0.06855986139044251,184,5.0,0.2,0.2,5,25.0,25,1001.0,1001
1,3.7965881498182235,0.07999097003195758,178,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,1001.0,1001
2,3.409801158477988,0.0636276234648214,213,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,1001.0,1001
3,3.500329277401378,0.06901093453800107,204,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,1001.0,1001
4,3.523162134691387,0.07485752470093053,202,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,1001.0,1001
5,3.5066735694044726,0.07379818762961707,204,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,1001.0,1001
1,2.9138785326804495,0.07730926525960569,217,5.0,0.4,0.4,5,12.5,12.5,1001.0,1001
2,3.090497129032559,0.0757901392088601,194,5.0,0.4,0.4,5,12.5,12.5,1001.0,1001
3,3.0455553466923018,0.0849191666886363,199,5.0,0.4,0.4,5,12.5,12.5,1001.0,1001
4,3.1890686419153798,0.08822968184738504,180,5.0,0.4,0.4,5,12.5,12.5,1001.0,1001
5,2.958725160662016,0.08017535984467371,211,5.0,0.4,0.4,5,12.5,12.5,1001.0,1001
1,2.522834974971944,0.07299597154763464,203,5.0,0.5,0.5,5,10.0,10,1001.0,1001
2,2.593292013583866,0.07683552318828973,188,5.0,0.5,0.5,5,10.0,10,1001.0,1001
3,2.5384308817545413,0.07598072253668041,201,5.0,0.5,0.5,5,10.0,10,1001.0,1001
4,2.591240476825154,0.08489541253802582,189,5.0,0.5,0.5,5,10.0,10,1001.0,1001
