value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
7,33.56674417990321,0.49496314168191435,22,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,201.0,201
8,37.14032284704008,0.8687774234737015,19,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,201.0,201
9,37.08726962990127,0.7371278902410262,19,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,201.0,201
10,38.37308564560026,0.8370573492355492,18,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,201.0,201
1,30.726512653826262,0.6725201391570943,20,10.0,0.4,0.4,10,25.0,25,201.0,201
2,28.954957727192316,0.7783728477974168,22,10.0,0.4,0.4,10,25.0,25,201.0,201
3,24.897519659186518,0.7636863102799578,28,10.0,0.4,0.4,10,25.0,25,201.0,201
4,36.855293023409835,0.8750923683258954,14,10.0,0.4,0.4,10,25.0,25,201.0,201
5,31.553379628523594,1.1202547426499598,19,10.0,0.4,0.4,10,25.0,25,201.0,201
6,31.3656433877315,0.9310663876022021,19,10.0,0.4,0.4,10,25.0,25,201.0,201
7,28.08293756941045,0.9537424437464828,23,10.0,0.4,0.4,10,25.0,25,201.0,201
8,34.80453356598709,0.8552348492717876,16,10.0,0.4,0.4,10,25.0,25,201.0,201
9,34.32270577005878,0.623542719522311,16,10.0,0.4,0.4,10,25.0,25,201.0,201
10,27.656067512625725,0.7848228816387564,24,10.0,0.4,0.4,10,25.0,25,201.0,201
1,25.274843916143947,0.9006203518844397,21,10.0,0.5,0.5,10,20.0,20,201.0,201
2,23.70151969112508,0.8831055552085186,24,10.0,0.5,0.5,10,20.0,20,201.0,201
3,28.14912931633303,1.0691772709197107,16,10.0,0.5,0.5,10,20.0,20,201.0,201
4,28.54389638228397,1.2563847200771991,16,10.0,0.5,0.5,10,20.0,20,201.0,201
5,30.175800977093065,1.0582611198123393,13,10.0,0.5,0.5,10,20.0,20,201.0,201
6,23.707704952240285,0.9732171256577998,24,10.0,0.5,0.5,10,20.0,20,201.0,201
7,25.853185833376905,0.9331454919701866,20,10.0,0.5,0.5,10,20.0,20,201.0,201
8,24.653359921637342,0.5140813934355672,22,10.0,0.5,0.5,10,20.0,20,201.0,201
9,28.05823106461953,0.9498958988863366,16,10.0,0.5,0.5,10,20.0,20,201.0,201
10,21.306989792738374,0.6242280751506759,29,10.0,0.5,0.5,10,20.0,20,201.0,201
1,19.68710541024557,0.7810141668788362,23,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,201.0,201
2,21.56253399413954,1.0249701183973416,18,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,201.0,201
3,21.595699797517653,0.632820710710541,17,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,201.0,201
4,18.512192682244144,0.722338315666212,26,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,201.0,201
5,18.690914474502605,0.637156309867951,26,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,201.0,201
6,21.188960555968457,0.9737222127702377,18,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,201.0,201
7,21.51142045783894,1.247070724482301,17,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,201.0,201
8,21.071712813817562,0.784117305845887,19,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,201.0,201
9,20.4515392199801,0.7243009228224991,20,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,201.0,201
10,21.765088324963074,0.646024926524219,17,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,201.0,201
1,15.230215847411026,0.7933159152987008,22,10.0,0.7,0.7,10,14.285714285714286,14.2857142857143,201.0,201
