value,m,s,n,arms,epsilon,scaled_1,players,repeat,m_per_player,best_arm_mean
8.0,3167.687627456517,441.8497121647561,18.0,10.0,0.4,25.0,101.0,0.0,31.36324383620314,95.25881390446632
9.0,2925.9940049408756,704.4069061198741,8.0,10.0,0.4,25.0,101.0,0.0,28.970237672681936,95.25881390446632
0.0,3375.8362400807187,558.0541640959233,8.0,10.0,0.4,25.0,101.0,1.0,33.42412118891801,92.35257346920953
1.0,3053.3561384200075,582.7445652641585,19.0,10.0,0.4,25.0,101.0,1.0,30.2312488952476,92.35257346920953
2.0,3386.1472974903177,581.1263704261738,12.0,10.0,0.4,25.0,101.0,1.0,33.52621086624077,92.35257346920953
3.0,3591.3354864606063,592.1353872120828,2.0,10.0,0.4,25.0,101.0,1.0,35.55777709366937,92.35257346920953
4.0,3067.5562302765875,918.7117539846847,15.0,10.0,0.4,25.0,101.0,1.0,30.371843864124628,92.35257346920953
5.0,3231.4458921709174,529.6365988143637,15.0,10.0,0.4,25.0,101.0,1.0,31.99451378387047,92.35257346920953
7.0,2947.171746791823,536.8908335447729,19.0,10.0,0.4,25.0,101.0,1.0,29.179918285067554,92.35257346920953
8.0,3376.899125577813,384.1317093687946,11.0,10.0,0.4,25.0,101.0,1.0,33.43464480770112,92.35257346920953
1.0,3167.808889236914,605.2632140477766,10.0,10.0,0.4,25.0,101.0,2.0,31.36444444789024,89.99226715080214
2.0,3352.1041398432944,624.300127082986,16.0,10.0,0.4,25.0,101.0,2.0,33.18914989943856,89.99226715080214
3.0,3433.1556976697925,465.43803414947985,9.0,10.0,0.4,25.0,101.0,2.0,33.99164057098805,89.99226715080214
4.0,3565.271314543101,428.57071912280827,9.0,10.0,0.4,25.0,101.0,2.0,35.29971598557526,89.99226715080214
5.0,3174.145357932679,670.3627150445052,16.0,10.0,0.4,25.0,101.0,2.0,31.427181761709694,89.99226715080214
6.0,3212.89549870031,646.5558173654528,15.0,10.0,0.4,25.0,101.0,2.0,31.810846521785248,89.99226715080214
7.0,3874.859157946243,573.3962031234878,4.0,10.0,0.4,25.0,101.0,2.0,38.3649421578836,89.99226715080214
8.0,3676.1533550136146,737.0118611641192,4.0,10.0,0.4,25.0,101.0,2.0,36.397557970431826,89.99226715080214
9.0,3238.774983379905,421.2190479836173,18.0,10.0,0.4,25.0,101.0,2.0,32.067079043365396,89.99226715080214
2.0,1599.4812801709907,111.2995150838341,5.0,10.0,0.8,12.5,101.0,0.0,15.83644831852466,97.95896111169809
3.0,1591.3879226283034,266.632086538249,19.0,10.0,0.8,12.5,101.0,0.0,15.756316065626766,97.95896111169809
4.0,1642.6332492523638,260.5451604019728,18.0,10.0,0.8,12.5,101.0,0.0,16.263695537152117,97.95896111169809
5.0,1603.8202058572704,376.55664795392454,5.0,10.0,0.8,12.5,101.0,0.0,15.879407978784855,97.95896111169809
6.0,1745.1426455914561,290.2427906898669,21.0,10.0,0.8,12.5,101.0,0.0,17.278640055360952,97.95896111169809
8.0,1696.2376893259864,289.97108962853275,27.0,10.0,0.8,12.5,101.0,0.0,16.794432567584025,97.95896111169809
9.0,1662.61441998218,233.21076819354596,6.0,10.0,0.8,12.5,101.0,0.0,16.46152891071465,97.95896111169809
1.0,1360.3715498069575,151.63981830400962,6.0,10.0,0.8,12.5,101.0,1.0,13.469025245613441,99.44241294068732
2.0,1358.036038308049,244.31243816072455,25.0,10.0,0.8,12.5,101.0,1.0,13.445901369386624,99.44241294068732
3.0,1370.1438046653896,252.99471420150542,10.0,10.0,0.8,12.5,101.0,1.0,13.565780244211778,99.44241294068732
4.0,1461.8865387463761,220.18245815453122,45.0,10.0,0.8,12.5,101.0,1.0,14.474124146003724,99.44241294068732
6.0,1393.9909932907021,209.48822688308647,15.0,10.0,0.8,12.5,101.0,1.0,13.80189102268022,99.44241294068732
1.0,1376.0078868370333,216.22431662490314,44.0,10.0,0.8,12.5,101.0,2.0,13.623840463733004,98.3931347694834
2.0,1453.4997195071983,231.1230426097413,39.0,10.0,0.8,12.5,101.0,2.0,14.391086331754439,98.3931347694834
3.0,1386.317352057385,184.4027104125974,11.0,10.0,0.8,12.5,101.0,2.0,13.725914376805793,98.3931347694834
9.0,1397.3175624427572,347.7230575617099,7.0,10.0,0.8,12.5,101.0,2.0,13.834827350918388,98.3931347694834
0.0,7020.135206735749,0.0,1.0,20.0,0.1,200.0,101.0,0.0,69.50628917560148,98.9581348000072
1.0,10338.827478180277,438.54796611266414,2.0,20.0,0.1,200.0,101.0,0.0,102.36462849683443,98.9581348000072
2.0,8079.321690589249,666.3648397326566,5.0,20.0,0.1,200.0,101.0,0.0,79.99328406524009,98.9581348000072
3.0,8291.605558474992,492.2417565160863,6.0,20.0,0.1,200.0,101.0,0.0,82.09510453935636,98.9581348000072
4.0,7975.139778785648,442.5608652594163,7.0,20.0,0.1,200.0,101.0,0.0,78.96177998797671,98.9581348000072
5.0,7147.24254521456,1507.0552524690272,7.0,20.0,0.1,200.0,101.0,0.0,70.76477767539168,98.9581348000072
6.0,8299.032391763854,634.5909556655436,5.0,20.0,0.1,200.0,101.0,0.0,82.16863754221637,98.9581348000072
7.0,9909.372068414745,382.62359416571525,3.0,20.0,0.1,200.0,101.0,0.0,98.11259473677966,98.9581348000072
8.0,7602.873812545878,806.6166431284516,10.0,20.0,0.1,200.0,101.0,0.0,75.27597834203839,98.9581348000072
9.0,7565.543933344352,1375.2906685654539,9.0,20.0,0.1,200.0,101.0,0.0,74.90637557766685,98.9581348000072
11.0,8865.592465763442,387.76194292207913,5.0,20.0,0.1,200.0,101.0,0.0,87.77814322538062,98.9581348000072
12.0,8365.615687107877,1462.180597237083,4.0,20.0,0.1,200.0,101.0,0.0,82.827878090177,98.9581348000072
13.0,11441.626957537526,1030.3614820002774,2.0,20.0,0.1,200.0,101.0,0.0,113.28343522314383,98.9581348000072
14.0,9454.379791353782,451.40117189717614,4.0,20.0,0.1,200.0,101.0,0.0,93.60772070647309,98.9581348000072
15.0,7360.888507657842,1042.7765197106053,7.0,20.0,0.1,200.0,101.0,0.0,72.88008423423605,98.9581348000072
16.0,7118.292156730868,1610.3740628325263,11.0,20.0,0.1,200.0,101.0,0.0,70.47814016565215,98.9581348000072
17.0,8198.971995670816,585.7588577277558,6.0,20.0,0.1,200.0,101.0,0.0,81.1779405511962,98.9581348000072
18.0,11272.369070190513,435.3824848004777,3.0,20.0,0.1,200.0,101.0,0.0,111.6076145563417,98.9581348000072
19.0,9372.733089146403,402.4846466691666,4.0,20.0,0.1,200.0,101.0,0.0,92.79933751630101,98.9581348000072
0.0,8852.300582364525,681.1206022937872,4.0,20.0,0.1,200.0,101.0,1.0,87.64654041945074,92.96130179849632
1.0,6928.326952627631,1424.9308886432245,10.0,20.0,0.1,200.0,101.0,1.0,68.5972965606696,92.96130179849632
3.0,6353.832060495793,1636.607556343715,10.0,20.0,0.1,200.0,101.0,1.0,62.90922832174052,92.96130179849632
4.0,9983.881029684493,661.3980474810274,3.0,20.0,0.1,200.0,101.0,1.0,98.85030722459894,92.96130179849632
5.0,8256.6603509315,988.6371470188077,3.0,20.0,0.1,200.0,101.0,1.0,81.74911238546039,92.96130179849632
6.0,12064.015530219873,0.0,1.0,20.0,0.1,200.0,101.0,1.0,119.44569831900864,92.96130179849632
7.0,6521.245960690765,1639.3625818877008,10.0,20.0,0.1,200.0,101.0,1.0,64.56679169000758,92.96130179849632
8.0,6954.307704084532,1216.7719761689557,9.0,20.0,0.1,200.0,101.0,1.0,68.85453172360923,92.96130179849632
9.0,11734.258535046343,1666.396604574562,2.0,20.0,0.1,200.0,101.0,1.0,116.18077757471627,92.96130179849632
11.0,5802.956559438519,1316.8040414807924,9.0,20.0,0.1,200.0,101.0,1.0,57.45501543998534,92.96130179849632
12.0,10127.829404257265,424.2927000370996,3.0,20.0,0.1,200.0,101.0,1.0,100.27553865601253,92.96130179849632
13.0,8506.785846396377,718.1871829227567,5.0,20.0,0.1,200.0,101.0,1.0,84.22560243956809,92.96130179849632
14.0,7377.959761263372,632.4985467731899,7.0,20.0,0.1,200.0,101.0,1.0,73.0491065471621,92.96130179849632
15.0,7817.29174301924,935.5482675448777,5.0,20.0,0.1,200.0,101.0,1.0,77.39892814870535,92.96130179849632
17.0,7388.938202177343,627.7490704565719,6.0,20.0,0.1,200.0,101.0,1.0,73.15780398195389,92.96130179849632
18.0,7645.035866447267,830.6649663702656,6.0,20.0,0.1,200.0,101.0,1.0,75.69342442026996,92.96130179849632
19.0,7168.396869544544,954.3709008164592,8.0,20.0,0.1,200.0,101.0,1.0,70.9742264311341,92.96130179849632
0.0,6599.040032737784,1382.9040733595243,6.0,20.0,0.1,200.0,101.0,2.0,65.33703002710676,95.37645455435994
1.0,5635.218251540798,1457.258230404952,9.0,20.0,0.1,200.0,101.0,2.0,55.79424011426532,95.37645455435994
2.0,4761.720743920069,2028.678650638361,13.0,20.0,0.1,200.0,101.0,2.0,47.14574993980266,95.37645455435994
3.0,5975.995139287921,1661.8639586738918,9.0,20.0,0.1,200.0,101.0,2.0,59.168268705821,95.37645455435994
4.0,10556.220224752793,0.0,1.0,20.0,0.1,200.0,101.0,2.0,104.51703192824547,95.37645455435994
5.0,5924.59209271012,1957.5067105989058,8.0,20.0,0.1,200.0,101.0,2.0,58.659327650595245,95.37645455435994
7.0,8555.441840510492,1614.8258008438388,3.0,20.0,0.1,200.0,101.0,2.0,84.70734495554942,95.37645455435994
9.0,8953.518055818202,757.346488549979,4.0,20.0,0.1,200.0,101.0,2.0,88.6486936219624,95.37645455435994
10.0,5914.3005123068515,1789.281441614017,8.0,20.0,0.1,200.0,101.0,2.0,58.55743081491932,95.37645455435994
12.0,5745.9700578403945,1800.7277500637229,9.0,20.0,0.1,200.0,101.0,2.0,56.89079265188509,95.37645455435994
13.0,6699.931266923906,546.0188207449265,7.0,20.0,0.1,200.0,101.0,2.0,66.33595313786046,95.37645455435994
14.0,7962.814245183836,921.3937622305431,5.0,20.0,0.1,200.0,101.0,2.0,78.83974500182016,95.37645455435994
16.0,5672.834419728008,1075.0328021221665,10.0,20.0,0.1,200.0,101.0,2.0,56.16667742304958,95.37645455435994
17.0,5873.213827411313,1460.0979717653465,9.0,20.0,0.1,200.0,101.0,2.0,58.15063195456746,95.37645455435994
0.0,5575.714371918307,840.2902006345522,10.0,20.0,0.2,100.0,101.0,0.0,55.20509279127037,87.39028135181873
1.0,6559.506717487688,686.0538033604574,4.0,20.0,0.2,100.0,101.0,0.0,64.94561106423453,87.39028135181873
2.0,6756.103641721809,243.26311581118614,4.0,20.0,0.2,100.0,101.0,0.0,66.89211526457237,87.39028135181873
3.0,6576.145233839397,1392.4019670198202,4.0,20.0,0.2,100.0,101.0,0.0,65.11034884989502,87.39028135181873
4.0,5632.0785485002125,876.8876256183411,10.0,20.0,0.2,100.0,101.0,0.0,55.763153945546655,87.39028135181873
5.0,6939.134572494948,901.1655774770168,4.0,20.0,0.2,100.0,101.0,0.0,68.70430269796978,87.39028135181873
6.0,4812.543580572851,1574.4607358123906,7.0,20.0,0.2,100.0,101.0,0.0,47.64894634230546,87.39028135181873
7.0,8855.46929470036,0.0,1.0,20.0,0.2,100.0,101.0,0.0,87.67791380891445,87.39028135181873
9.0,6210.409893283627,2553.168611884957,3.0,20.0,0.2,100.0,101.0,0.0,61.48920686419432,87.39028135181873
