step,arm_0,arm_1,arm_2,arm_3,arm_4,arm_5,arm_6,arm_7,arm_8,arm_9,arm_10,arm_11,arm_12,arm_13,arm_14,arm_15,arm_16,arm_17,arm_18,arm_19,arm_20,arm_21,arm_22,arm_23,arm_24,arm_25,arm_26,arm_27,arm_28,arm_29,arm_30,arm_31,arm_32,arm_33,arm_34,arm_35,arm_36,arm_37,arm_38,arm_39,arm_40,arm_41,arm_42,arm_43,arm_44,arm_45,arm_46,arm_47,arm_48,arm_49,arm_50,arm_51,arm_52,arm_53,arm_54,arm_55,arm_56,arm_57,arm_58,arm_59
1.0,7.315485227031374,66.33911697780913,33.655541822381565,76.3641365820718,25.137082175339728,31.112549271772565,57.38476470247799,72.64208472445883,2.2499588209453094,5.994209198094751,47.253433083072075,81.81647624912338,74.68869801912888,45.3010919402332,37.1940997849122,57.499816278546234,50.12569234833556,59.130565266536564,24.249172003453936,29.899392873491564,59.06382003333582,73.81240417522416,81.46044214022241,42.15205825075236,56.74532776824301,11.052441852816571,27.17760243530236,8.944840344497209,88.46359104471901,46.060078139269876,15.401043134236374,51.246254215791346,57.61846496305286,33.700021452679486,85.50097264869822,10.416388828181027,0.6265599088908118,52.016196660111206,90.36951227821012,22.453624977606168,69.87196918381665,24.288837363152822,1.2813742049894898,14.134863436012239,81.96813377769072,79.86727855416547,0.0,13.941233752511948,57.324630127102985,38.310756102452,39.64799706993303,57.06778574732845,87.7674972136812,83.4908607018593,-0.20526296674825062,53.668781339476595,12.046888887820927,83.7829316260236,64.53897470533497,86.82403851912973
2.0,7.5952426936851225,66.15099487606602,33.981581056671885,76.44689225032965,25.49203667743987,31.236586671548153,57.13542153131389,72.5609163089719,2.1543538673193012,5.868712074951901,47.43459078539111,82.21106994352091,74.68403929565237,45.1955306793314,37.54181943303832,57.168445454796554,50.3332041496239,59.37911095463291,24.356957930738815,30.39730192178022,59.589875351576836,73.81139969306494,81.59058936970669,42.289430759617595,56.634456838990126,11.285610385917764,27.29539853368989,9.052601070264402,88.55805838985883,46.06776166367099,15.770577349435428,51.19761614437257,57.58921030926567,33.908727945079555,85.6662533330678,10.247489221859581,0.6688592452674698,51.94297299488151,90.82456763197374,22.526518311033144,70.34555219194606,24.416520433469316,1.3276935033735384,14.067007820814837,82.20129765155652,79.86842219058298,0.0,14.479605986394702,57.572398410879224,38.10445604788199,39.763920622463694,57.09824615093086,87.41401032170934,83.74388254111753,0.24636549358868365,53.66033562398054,12.121261117697912,84.04896099191423,64.35757735298657,87.17959012132422
3.0,7.27795797465032,66.22569514254454,34.004879058122356,76.49046984878476,25.37134759236264,31.437387421860116,57.567702922218146,72.67888465386874,2.1103595862162194,5.872322237428051,47.51914432012701,81.95526439756601,74.78246399320992,45.17657978099454,37.43658721382828,57.65987193365698,50.172505804898854,59.404966880842835,24.08852964025307,30.341291648204994,59.433062953564836,73.81870648503377,81.68805518648914,42.49552857919473,56.43341446762106,10.911927991429692,27.4254342021125,9.384056981920281,88.75921497222127,46.07586886164084,15.965285064718515,50.96274090016022,57.85316743420645,33.63256575204393,85.45802655526128,10.381313021923404,0.8804130960835295,51.70144534237437,90.49434307777261,22.768637374179747,70.48677402972079,24.619338130926366,0.9643165445991855,14.34917076345593,82.07338100043904,80.36081978369285,0.0,14.25777821041433,57.737672302771614,38.41966241789911,39.68887380224539,57.18544283656833,87.81121982490578,83.58164510186225,0.009128211300193811,53.54820163213406,12.314602160534974,83.65976352925985,64.4693388076809,87.01047903821026
4.0,7.333871121699062,66.6093787320329,34.1227271980273,76.9678273779274,25.477498970648526,31.459221333018647,57.58664636073277,72.84452709885839,2.369148348069288,6.114130809842024,47.59958189442652,82.31111707437505,74.80258105538579,45.41944273460621,37.809524723436034,57.47383192837558,50.18534109080998,59.47767549205214,24.174294857952034,30.225816072859324,59.34152237184302,74.24346762128924,81.56902320759313,42.68950400253822,56.54257484746639,10.97653449909501,27.51404712363098,9.05217127462258,88.87952805228966,46.547770720426016,16.131365127199615,51.20353814401642,58.021655353671726,33.98422055885672,85.88193824798267,10.26639161333388,0.8151333881664726,52.1537661891157,90.75239140871807,22.581712776539334,70.47905474606658,24.571642660120773,1.4554081116655908,14.364805841802081,82.17115681495908,80.04263780112048,0.0,14.155911350167187,57.63538478339473,38.53048932115841,39.74496530104132,57.39220147404179,87.97886943596416,83.66108655966366,0.17898140817035824,53.64464039683099,12.48624515580022,84.15565794342251,64.29578583528291,86.87441051116338
5.0,7.382900656340141,66.73223022555233,34.11458086395587,76.89685689480494,25.76120153156927,31.577674725243938,57.562587478624835,73.18169730220842,2.207737355163374,6.342298715295982,47.382804437356754,82.13476633443051,75.00349008278064,45.32292473388811,37.74285690023984,57.66364574098294,50.39833539616961,59.696072638857565,24.47237262553071,30.27820051577921,59.47587768336012,74.08330714857476,81.80767445931342,42.61714879581254,56.60045947873404,11.301108127234258,27.638683537463997,9.604049477942937,88.67023761004643,46.193753987268366,16.063769983018076,51.38117007992768,57.824982717194935,34.14339868686601,85.97944541879326,10.242426799879567,0.9824892297078662,52.009924261895186,90.85555374000288,22.928288241482704,70.48169028930442,24.71763000593198,1.5591862372811534,14.493706710997273,82.07551747846755,80.4875564722933,0.0,14.327241687255679,57.63471251894215,38.70204578669727,40.03450199471186,57.48235195654198,87.6294530074719,83.88754283584531,0.145229112297514,53.9036447220663,12.228284777566685,84.12825547780801,64.80247706702447,87.34289544171402
6.0,7.5160673880047,66.60635099508161,33.863916552384815,76.92874473837816,25.566638612149774,31.281812872763368,57.51149725989722,73.02729814687869,2.3112889037119686,5.899898510665409,47.58779061700367,82.30511818262349,74.8102646834962,45.47870431134504,37.67804289322643,57.31101279856948,50.43233442520671,59.36858351523301,24.41211155495445,30.399711577160183,59.704139020851095,73.89095402739851,81.81705216989324,42.60413972721827,56.80813366651253,11.065943314759565,27.58788640855405,9.035727812546341,88.5265957835892,46.163467631593,15.608100094861342,51.19753716651019,57.574731303785626,33.542940565678926,85.60579582660786,10.382695947148918,0.9496079188262883,51.96411014840134,90.92097155050112,22.812811300792887,70.35875276996471,24.334686126916807,1.0192283339261792,14.34626322549694,82.3854047180019,80.23544387034488,0.0,14.465750606108514,57.722505751305825,38.213571766534166,39.70451444721477,57.0543525443274,87.65874489692614,83.60465802907127,0.09247850876920438,53.739952093139,12.116988869978755,83.92962792964171,64.45507928918352,86.96860430809046
7.0,7.25788623440549,66.23321251015969,33.678479837630604,76.62828036708379,25.4154405867598,30.9740430519344,57.06187352921861,72.77038657094364,2.2450636318041717,6.031759385200544,47.42968047352591,81.86367517259694,74.97089371496716,45.39865872869651,37.08280997295402,57.27979321199316,49.91415833153741,59.33416067339661,24.26622106472449,30.275984545825438,59.406213761779,73.5706092906048,81.2309230913779,42.19322598491163,56.67265454490287,10.684921879076484,27.24476173439163,8.884847013604386,88.34679197990529,45.791241751210684,15.70950223077702,50.78815243313184,57.85353715874873,33.42002728555537,85.37800347418026,9.896370553016524,0.5937015812889399,51.78450997854812,90.2613863394245,22.303681628252434,69.83718733130867,24.483870235782476,0.7707570700092248,14.213603537029698,81.97661814617915,80.06911660303858,0.0,14.14993139116558,57.280026435366366,38.42245815223033,39.61257118352753,57.138015865256016,87.33783361741136,83.41483725371666,0.09172708678029551,53.191094554270215,12.234438632081321,83.66159189992904,64.37220184819382,87.08586798456784
8.0,7.402600815167176,66.3531374065832,33.63311411898365,76.80982849775941,25.355240946231973,31.31302485215344,57.07888945812631,72.71645283927539,2.3931502351436933,5.878062791723352,47.604712817798976,82.33284287374909,75.20828481631989,45.63561612159467,37.35070111386182,57.17075170288291,50.509088590200506,59.705290655132025,24.48972134286258,30.101346075429163,59.51608046412538,73.6889575542731,81.67976531013785,42.374219136001564,56.49578299187806,10.999628151353676,27.114029516436503,9.470369038504003,88.57331344243059,46.39771460492513,15.84955160802086,51.005483138591515,57.5833188144485,33.69954469805605,85.79967968812322,10.570358601068918,0.5864602024346084,51.921357219393585,90.4435593121586,22.950379460492982,70.32127436220394,24.405659609827538,1.2032531908770494,14.42327412767574,82.0565779651577,80.06781329762212,0.0,14.352064064354451,57.5518152500534,38.62873303139547,39.986988406866544,57.22386664336483,87.6152341317001,83.41925757829355,0.11494474844938907,53.69625192869769,12.2408510162375,83.79856115064919,64.57114865416307,86.88290817249869
9.0,7.524226945025873,66.33337764713266,33.65457852560901,76.97226436955262,25.243711932162498,31.703912305128704,57.34157849087361,72.7419989668224,2.33141765624066,6.073559409659239,47.411899764820845,82.4386689176964,74.80685051272995,45.589992479094164,37.39925268773779,57.43730952767219,50.63043397240214,59.624184071726134,24.262280634594575,30.386428085801647,59.413021497776086,73.80556927591464,81.53944372814368,42.2772927280161,56.65288588435867,10.912965247132988,27.54690463483827,9.536752379601083,89.02609171425165,46.50796887995255,15.70921283942333,51.149619953591305,57.76796179832072,33.642311344012924,85.44850249178171,10.3159629500215,0.9588207805820019,52.043184989506834,90.92951090959875,22.67184296799634,70.53180959362763,24.347248849611688,1.0121316541467564,14.2784100710669,81.99169516466887,80.03665802508105,0.0,14.45918666232754,57.639328888194356,38.28368918966651,39.73933781484167,57.14658510494446,87.66106392087607,83.73490535949283,0.15550478231588727,53.809701266441735,12.501084007653759,83.84317372673601,64.73937972426847,87.10199932396466
10.0,7.492712110586822,66.67413717363402,34.20831448395249,77.03674573937883,25.444003016339053,31.442313052309515,57.52893907852196,72.78337749179488,2.294001971747946,6.019356967068802,47.58590250247666,82.24472003434136,74.97210542509372,45.558830072018196,37.56011510122883,57.572550138142816,50.59530840376137,59.35853021029503,24.484480759531053,30.44584544117066,59.856196557256695,73.9441005225871,81.57278144133183,42.68312939120917,57.06058392153837,11.287613396528172,27.527098979852084,9.604857084556713,88.97657980754887,46.410606886667765,16.161389672932543,51.26409477049845,58.02270577694422,34.0390910440701,85.9256263869099,10.366529175018655,0.8113667103301907,51.85696920181072,90.84602515957236,22.718934321894835,70.37097717173201,24.749933930507453,1.4689856040285747,14.668609979587274,82.20259135046048,80.43832784874712,0.0,14.472721548402859,57.71467563695888,38.80827622806469,39.7492121146631,57.223784845900425,87.95156270693609,83.48127675605804,0.31728227668681086,53.6444398649273,12.467704717634732,83.89376587590549,64.7987598043338,87.39655648804293
11.0,7.6660750045794686,66.5941165176454,34.00152770831514,76.94550700998579,25.56165468725139,31.4235153044027,57.68112977169044,73.12491953466171,2.3721207644582734,6.1339787198064215,47.82939283159483,82.5864772127633,75.14837106668637,45.65613765771771,37.84568543121976,57.81047657179795,50.716155847211084,59.82055613642197,24.74400610581398,30.679827123656445,59.50582125296886,74.03182056290318,81.8364910339352,42.54950973416601,56.631737886228244,11.179366614808941,27.568022306147284,9.641886267313424,89.0312015913128,46.42789579370586,16.06378473259332,51.2362812890188,58.073255327672705,34.06406980264767,85.91634141689487,10.674075733018,1.1984345412206352,52.17227284091898,90.96641229600948,22.729505843556353,70.29909162828052,24.802937700044467,1.4811608571444879,14.638364959122043,82.33697104390848,80.46580131205755,0.0,14.738435689918276,57.84217852674393,38.77473981640857,40.109209299233534,57.382696947832905,87.84139676924137,83.56612228713182,0.1669647657988662,53.95018768228825,12.446594833333563,83.93693030664903,64.65274856596263,87.27109115619537
12.0,7.602395078710288,66.85294649279588,33.9826043318798,77.08793516724529,25.570020756497556,31.47551196509724,57.35274327239914,72.86005209617254,2.504730648146719,6.436838965651631,47.683163827984586,82.3933876020416,75.43322317896745,45.536199455517085,37.95105914077242,57.72798395147813,50.60166582631455,59.64683795944511,24.732335088054143,30.678882805291444,59.867158848183095,73.98713819291845,82.03337323290988,42.653804546177746,56.79249205551051,11.129901948195098,27.567615374045843,9.493303408005772,89.08249884532427,46.41809038381733,15.85955915469394,51.24849879325777,58.1542568622898,34.02723694389621,86.10404054290443,10.355193715925182,1.1415368585886654,52.38282123850306,90.98460600785371,22.924998367434796,70.48535359169655,24.952451666951788,1.6181518272697133,14.583054129508668,82.27948964742805,80.51004180730466,0.0,14.743890077240877,57.94163707136462,38.84886701915754,39.96700618980962,57.51023093563203,87.80212607594724,83.92511074887598,0.6750922070473564,54.100470963165606,12.66268790457083,84.34326462561889,64.74734235169595,87.50114148306491
13.0,7.155798301170492,66.36430644355305,33.68525415448717,76.7608416555854,25.499041743441552,31.106342393981997,57.383861364131945,72.81522540138467,2.231505345879185,6.18138443275312,47.429361995402026,82.14761002649269,75.13230984624826,45.32880322768398,37.45323106025738,57.21088268137783,50.42688286622091,59.34634561374908,24.417651345739998,30.2890785955354,59.31255576768075,73.87363843632139,81.72436257387578,42.30678524282437,56.490991419000245,10.870181132702186,27.43173890309484,9.333868154021843,88.65836648198365,46.03538467698238,15.941127705366142,51.07934150267163,57.612620682972505,33.71712028739887,85.42214838417291,10.02014583226088,0.7327392952081198,51.81960526041015,90.44815976758893,22.47712088527227,70.22324691523664,24.3248866000294,0.9104663983782899,14.1245606383103,82.18220755872971,80.15989474367564,0.0,14.408457747915705,57.71152981702334,38.48767835697167,39.6685616287724,57.0118261402273,87.64915244799037,83.58082090118347,0.117238595137934,53.6691358189973,12.25034697676817,84.04024341587932,64.3479734402015,87.18434099077326
14.0,7.808948127490737,67.00165026051562,34.2400828139914,77.19554250525636,25.507598266887584,31.56656095917171,57.44288955926448,73.29186297425116,2.5860341726191365,6.110585804143454,47.804956035324224,82.66835653450626,75.01529566918094,45.460927801979764,37.69111814974932,57.8265815056725,50.61366322288053,59.96613591059591,24.56070333299546,30.64210235569619,59.606102114490675,74.24796350971097,82.09976427285886,42.91265432804408,56.896553992836225,11.486483219380716,27.51722409839215,9.406427370410043,88.87109494479776,46.44919834900344,16.241143147780818,51.36464933233949,58.16116551650078,34.27032706771315,85.6817434197187,10.68859755249683,0.8636404838647564,52.085343041039934,90.96408730195095,23.041879197819128,70.48631794934363,24.70835978568104,1.6187846421460819,14.66630334619714,82.34037684032663,80.57262092388862,0.0,14.686123354441705,57.77654496569501,38.64635492714816,39.88546079606013,57.853081086004735,87.99760025611705,83.87967439204208,0.4014820792520766,54.01980573132494,12.661082818287838,84.03785614875896,64.91382561084679,87.51706560699317
15.0,7.558940823135174,66.45571758905913,34.16780400689323,77.11226867288349,25.51060964058847,31.455669522633457,57.516374675456014,73.23878905856598,2.4662945669407605,6.406259029191929,47.508372593731785,82.3054709268302,75.02495735079194,45.83646751004923,37.58687317937099,57.65356242815497,50.46591610116984,59.47146469999597,24.33891364008035,30.650728897545363,59.73819706048642,73.907378676474,81.85611173840203,42.567024658810496,56.82759210691497,11.546108024975055,27.730618939857045,9.315562994777395,89.0917866623207,46.44683331572299,16.262401990869307,51.253116541220805,57.83455874849559,33.795477983234534,85.91955825498238,10.355442797454344,0.7441257610280303,52.28464555000692,90.79976235366578,23.14823184988792,70.47571467768462,24.729403692931484,1.375197448697989,14.570703168565956,82.27467147421977,80.50800177862128,0.0,14.361816602479436,57.77389329700298,38.611517044738775,40.19400200018822,57.670726332926044,87.81072270284892,83.76286007783135,0.5635305607323602,53.609756471508916,12.566340052599855,84.1265805393401,64.85311497415829,87.10182811894397
16.0,7.714308353882046,66.72358381109854,34.17554685963388,76.90604267706497,25.64656621234407,31.595133208122654,57.402089685948454,72.7461277866195,2.3108333121030284,6.452454440246342,47.517279255481554,82.13014059174448,75.3376314926241,45.47371889689742,37.39724231721173,57.401310741715506,50.54908762522819,59.802421220251816,24.40290325757428,30.232096346464047,59.37443363024806,73.89309668589324,81.68220831125423,42.747437129419055,56.76564743283988,11.33569614625516,27.423697240898193,9.490524424430106,88.88271354326282,46.27335691793605,15.85422649399662,51.14783217778992,57.93984156304179,33.92705413782625,85.844875480395,10.479036135555077,0.8862557884939548,51.98652131115093,91.00463215680288,22.878539588028957,70.63729206157839,24.726003403317165,1.2230381853662209,14.416075663745914,82.41957760133968,80.51657903612363,0.0,14.613614485774377,57.713876224693664,38.665672021235075,40.00073655582642,57.215432022798076,87.81065047398936,83.75669892081005,0.48741669418247113,53.978070105377235,12.249802536044712,83.96400475967468,64.34478511919346,87.13461968000144
17.0,7.67374489374464,66.29036171683867,34.043126589273896,76.98221142765406,25.419181292136344,31.52004206138539,57.28417964911933,72.89434019456695,2.0914018693329126,6.340408984321982,47.240427066944996,82.14447761648523,75.07254388430478,45.213215362243474,37.71032838329846,57.41464402925862,50.54519073793617,59.65122872474676,24.365670525970415,30.267306401670673,59.433827266302416,74.13273907671305,81.69917827967889,42.608436328790106,56.74403111929061,11.001431800482251,27.58332385486615,9.289011044972725,88.71883295237409,46.18741776887208,15.90773281281001,51.44678217437129,57.60828824317015,34.03367384224561,85.60996271057981,10.169860245515409,0.9436130033597436,51.84227179756295,90.76047031390662,22.996408929964403,70.31035350093758,24.576249247630756,1.2000895394941011,14.301715969190369,82.05682678553515,80.1817130305236,0.0,14.100777118315804,57.620584407801516,38.652852263533006,40.08111332386729,57.570464183955124,87.60255346000994,83.4238178752068,0.15357449574113957,53.85409242955168,12.068809116882619,83.90012200315572,64.63701748641657,87.07147187945696
