step,mean_player_reward,mean_player_regret,system_reward,oracle_reward,oracle_mean_expected,best_arm_index,efficiency,occupancy_variance,player_reward_variance,cumulative_system_regret
1.0,9.074025975568933,82.11701360138892,2722.20779267068,91.19103957695785,91.40776823049084,46.0,0.0995056753126626,0.0,31.291258931490052,24635.104080416673
2.0,9.07088519277225,164.3315525003781,2721.265557831675,91.28542409176144,91.40776823049084,46.0,0.09936838529285973,0.0,31.281066060470057,49299.465750113435
3.0,9.080326924537863,246.5969440065331,2724.0980773613587,91.34571843069284,91.40776823049084,46.0,0.09940615806122781,0.0,31.297597950162253,73979.08320195993
4.0,9.072599615248897,328.9428720717848,2721.7798845746693,91.41852768050059,91.40776823049084,46.0,0.09924246042286751,0.0,31.360915766194523,98682.86162153544
5.0,9.070899220121728,411.3651840889302,2721.2697660365184,91.49321123726719,91.40776823049084,46.0,0.09914286642096733,0.0,31.331054391193145,123409.55522667908
6.0,9.06737219781315,493.6424585136779,2720.2116593439446,91.34464662256086,91.40776823049084,46.0,0.09926550195415212,0.0,31.376684205722793,148092.7375541034
7.0,9.071798592628603,575.7208407861573,2721.539577788581,91.15018086510787,91.40776823049084,46.0,0.09952584302661842,0.0,31.272028123068267,172716.25223584718
8.0,9.07724392521295,658.0018479595744,2723.1731775638855,91.35825109863012,91.40776823049084,46.0,0.09935877510848126,0.0,31.26907603232333,197400.55438787234
9.0,9.07870816923143,740.3296247536207,2723.6124507694285,91.40648496327766,91.40776823049084,46.0,0.09932236397536541,0.0,31.335722579548367,222098.8874260862
10.0,9.073105729857527,822.7563479085846,2721.931718957258,91.49982888482148,91.40776823049084,46.0,0.09915981090280078,0.0,31.311389889024294,246826.9043725754
11.0,9.066149175849672,905.2300019790168,2719.8447527549015,91.53980324628196,91.40776823049084,46.0,0.09904051411884489,0.0,31.303908225985076,271569.0005937051
12.0,9.073683647458328,987.783337456421,2722.1050942374986,91.62701912486246,91.40776823049084,46.0,0.09902847145003582,0.0,31.351328289555013,296335.00123692636
13.0,9.06837090791698,1069.985592588407,2720.5112723750944,91.27062603990304,91.40776823049084,46.0,0.09935694868524662,0.0,31.355629178298365,320995.6777765222
14.0,9.074567089245944,1152.559300270122,2722.3701267737833,91.64827477096102,91.40776823049084,46.0,0.09901514362298987,0.0,31.357232458398254,345767.7900810367
