player,arm,samples,estimated_mean,estimated_std
0.0,0.0,46.0,9.341618921649482,5.009482632956629
0.0,1.0,14.0,8.016524312298582,5.84578396526392
0.0,2.0,17.0,9.30933832150697,2.797920484683152
0.0,3.0,11.0,3.969453502230712,3.4701920848302983
0.0,4.0,35.0,9.380193697627757,3.339983610726542
0.0,5.0,25.0,9.370071509261493,2.6001250191500027
0.0,6.0,10.0,6.813460788845972,0.028863325486313804
0.0,7.0,10.0,3.7025338814980664,0.02484940577115591
0.0,8.0,41.0,9.383862676012592,5.515658827574357
0.0,9.0,46.0,9.372905166836544,5.414471164691763
0.0,10.0,12.0,8.77897370831136,0.031415865400993045
0.0,11.0,11.0,2.493370555186323,2.214262192803685
0.0,12.0,10.0,3.268097809551506,0.028554795665118347
0.0,13.0,10.0,9.188217346655668,0.035492125309489274
0.0,14.0,287.0,9.391632176729436,5.226220030168124
0.0,15.0,14.0,7.265043258919495,1.3530876022639466
0.0,16.0,11.0,7.984429969232039,0.7029335390891087
0.0,17.0,12.0,8.411484293512473,7.38633484492609
0.0,18.0,30.0,9.376729255340273,3.4689290784624305
0.0,19.0,28.0,9.380114600109035,3.0614364540172088
0.0,20.0,10.0,6.376699398498486,0.03749062083494456
0.0,21.0,11.0,4.726506614537126,4.1763148611744905
0.0,22.0,13.0,3.7234634089568064,3.370825538171418
0.0,23.0,12.0,9.234188162748167,1.4432369683347257
0.0,24.0,13.0,8.229094487051409,3.053260901337073
0.0,25.0,35.0,9.386009652184903,4.938340025600768
0.0,26.0,25.0,9.342382297726079,3.6232090557513184
0.0,27.0,42.0,9.306226491620915,4.608282347211169
0.0,28.0,11.0,0.7301192892127467,0.6926604497967515
0.0,29.0,11.0,9.021535552637824,0.018675391043290492
0.0,30.0,30.0,9.287926326502646,4.606363568169081
0.0,31.0,11.0,8.019319773698946,0.037611622653197424
0.0,32.0,11.0,6.705411348137209,0.03664155824328018
0.0,33.0,26.0,9.340736168525064,3.212275635143112
0.0,34.0,11.0,1.5535104932244281,1.3975726404833795
0.0,35.0,35.0,9.329951094123274,4.97521677302261
0.0,36.0,37.0,9.347270605698395,5.97968255392645
