step,oracle_reward,oracle_mean_expected,system_reward,system_mean_reward,efficiency,cumulative_system_regret
1.0,91.19103957695785,91.40776823049084,2722.20779267068,9.074025975568933,0.0995056753126626,24635.104080416673
2.0,91.28542409176144,91.40776823049084,2721.265557831675,9.07088519277225,0.09936838529285973,49299.465750113435
3.0,91.34571843069284,91.40776823049084,2724.0980773613587,9.080326924537863,0.09940615806122781,73979.08320195993
4.0,91.41852768050059,91.40776823049084,2721.7798845746693,9.072599615248897,0.09924246042286751,98682.86162153544
5.0,91.49321123726719,91.40776823049084,2721.2697660365184,9.070899220121728,0.09914286642096733,123409.55522667908
6.0,91.34464662256086,91.40776823049084,2720.2116593439446,9.06737219781315,0.09926550195415212,148092.7375541034
7.0,91.15018086510787,91.40776823049084,2721.539577788581,9.071798592628603,0.09952584302661842,172716.25223584718
8.0,91.35825109863012,91.40776823049084,2723.1731775638855,9.07724392521295,0.09935877510848126,197400.55438787234
9.0,91.40648496327766,91.40776823049084,2723.6124507694285,9.07870816923143,0.09932236397536541,222098.8874260862
10.0,91.49982888482148,91.40776823049084,2721.931718957258,9.073105729857527,0.09915981090280078,246826.9043725754
11.0,91.53980324628196,91.40776823049084,2719.8447527549015,9.066149175849672,0.09904051411884489,271569.0005937051
12.0,91.62701912486246,91.40776823049084,2722.1050942374986,9.073683647458328,0.09902847145003582,296335.00123692636
13.0,91.27062603990304,91.40776823049084,2720.5112723750944,9.06837090791698,0.09935694868524662,320995.6777765222
14.0,91.64827477096102,91.40776823049084,2722.3701267737833,9.074567089245944,0.09901514362298987,345767.7900810367
15.0,91.56398601757344,91.40776823049084,2722.7427891157313,9.075809297052437,0.09911985805544289,370514.24309719296
16.0,91.48601177654572,91.40776823049084,2721.5526166538966,9.071842055512988,0.0991609742227143,395238.4940135028
17.0,91.39673984163775,91.40776823049084,2721.5588674039973,9.071862891346658,0.09925805785923422,419935.9570985901
18.0,91.60032058011564,91.40776823049084,2721.8742507184743,9.072914169061582,0.099048934671863,444694.17902190634
19.0,91.45146843762588,91.40776823049084,2723.4908845748714,9.078302948582904,0.0992690779456945,469406.1286686192
20.0,91.24049013369671,91.40776823049084,2723.0464580072335,9.076821526690779,0.09948238455745154,494055.229250721
21.0,91.43461206019136,91.40776823049084,2722.1602483479805,9.07386749449327,0.09923886906765621,518763.45262043044
22.0,91.28291804014175,91.40776823049084,2720.832988128241,9.069443293760804,0.09935531738558695,543427.4950443447
23.0,91.4680889958051,91.40776823049084,2723.8683406026266,9.07956113534209,0.09926479535128907,568144.0534024836
24.0,91.17511062167645,91.40776823049084,2722.125348965007,9.073751163216691,0.0995200455622968,592774.4612400215
25.0,91.36987867853891,91.40776823049084,2722.631987250844,9.075439957502812,0.0993263873035487,617462.7928563324
26.0,91.56449597797061,91.40776823049084,2721.9305999560884,9.073101999853629,0.09908973890968084,642210.2110497674
27.0,91.42700694434298,91.40776823049084,2720.5548093368943,9.068516031122982,0.09918859136057602,666917.7583237335
28.0,91.58005683680344,91.40776823049084,2724.9810781014844,9.083270260338281,0.09918393342477128,691666.794296673
