n_arms,eps,rewards,avg_rewards
5.0,0.1,2.48996168150529,0.49799233630105805
5.0,0.1,2.0387051374343312,0.4077410274868663
5.0,0.1,2.312130834730162,0.4624261669460324
5.0,0.1,2.032805427385072,0.4065610854770144
5.0,0.1,2.1023331090413455,0.4204666218082691
5.0,0.1,2.225700651421905,0.445140130284381
5.0,0.1,2.0643281324686065,0.4128656264937213
5.0,0.1,2.188118346258774,0.4376236692517548
5.0,0.1,2.1958388600647307,0.43916777201294616
5.0,0.1,2.1698808559608262,0.4339761711921653
5.0,0.1,2.2413894758334973,0.44827789516669947
5.0,0.2,2.046525290059731,0.40930505801194617
5.0,0.2,2.1515712973538808,0.4303142594707761
5.0,0.2,2.058896881858645,0.411779376371729
5.0,0.2,2.0936077906503447,0.41872155813006895
5.0,0.2,2.1039656729972487,0.4207931345994498
5.0,0.2,2.1277370454322604,0.42554740908645206
5.0,0.2,2.1338260467419157,0.4267652093483831
5.0,0.2,2.0345117198389886,0.4069023439677977
5.0,0.2,2.090312792550274,0.4180625585100548
5.0,0.2,2.040652798394482,0.40813055967889644
5.0,0.2,2.100451009378777,0.42009020187575535
5.0,0.3,1.9983429346420778,0.39966858692841556
5.0,0.3,2.048178598828179,0.4096357197656358
5.0,0.3,2.1768447867930725,0.43536895735861453
5.0,0.3,1.9769544780112198,0.39539089560224394
5.0,0.3,1.9756699812149434,0.3951339962429887
5.0,0.3,2.0037453641005203,0.4007490728201041
5.0,0.3,2.1512759130448598,0.43025518260897194
5.0,0.3,1.962058255356688,0.39241165107133763
5.0,0.3,1.932324823203373,0.3864649646406746
5.0,0.3,2.002670919148214,0.40053418382964284
5.0,0.3,2.0251126177724332,0.40502252355448665
5.0,0.4,2.1622361999981132,0.4324472399996226
5.0,0.4,2.02912401355643,0.40582480271128607
5.0,0.4,2.122835626472917,0.4245671252945834
5.0,0.4,2.0752604441226263,0.41505208882452527
5.0,0.4,2.0900692363253883,0.4180138472650777
5.0,0.4,2.0777678757354128,0.4155535751470825
5.0,0.4,2.079478194006894,0.4158956388013788
5.0,0.4,2.075334055278821,0.41506681105576415
5.0,0.4,2.0865361032798377,0.41730722065596754
5.0,0.4,2.075815751658561,0.4151631503317122
5.0,0.4,2.020404343752663,0.40408086875053256
5.0,0.5,2.1721569193340384,0.4344313838668077
5.0,0.5,2.080876651694592,0.4161753303389184
5.0,0.5,2.156259910108724,0.4312519820217448
5.0,0.5,2.126337155815229,0.42526743116304583
5.0,0.5,2.1242970699724184,0.4248594139944836
5.0,0.5,2.1462033723743135,0.42924067447486275
5.0,0.5,2.1603489574652333,0.4320697914930467
5.0,0.5,2.119366089956565,0.423873217991313
5.0,0.5,2.1913662660619253,0.4382732532123851
5.0,0.5,2.1030022550923606,0.42060045101847215
5.0,0.5,2.133563719725183,0.4267127439450366
5.0,0.6,2.0561601912409007,0.41123203824818017
5.0,0.6,2.0447879597331795,0.4089575919466359
5.0,0.6,2.045970610328615,0.409194122065723
5.0,0.6,2.0979581522158397,0.41959163044316794
5.0,0.6,2.100040018071026,0.4200080036142052
5.0,0.6,2.0481014968123454,0.4096202993624691
5.0,0.6,2.074408946793504,0.41488178935870085
5.0,0.6,1.99073512665034,0.398147025330068
5.0,0.6,2.062369849057911,0.41247396981158224
5.0,0.6,2.0410372598032036,0.40820745196064073
5.0,0.6,2.0813097174030166,0.41626194348060336
5.0,0.7,2.041887371938305,0.408377474387661
5.0,0.7,2.0762001670269195,0.4152400334053839
5.0,0.7,2.0453364522729442,0.40906729045458884
5.0,0.7,2.082560703296255,0.416512140659251
5.0,0.7,2.065225145384425,0.413045029076885
5.0,0.7,2.0924745054248937,0.4184949010849787
5.0,0.7,2.0391998033701335,0.4078399606740267
5.0,0.7,2.0691306073933124,0.41382612147866243
5.0,0.7,2.1645354491506765,0.4329070898301353
5.0,0.7,2.095881597631711,0.41917631952634227
5.0,0.7,2.0659067352137854,0.4131813470427571
5.0,0.8,2.0926686236743732,0.4185337247348747
5.0,0.8,2.0616301941001116,0.41232603882002233
5.0,0.8,2.129755674098116,0.42595113481962316
5.0,0.8,2.0880022072032887,0.4176004414406577
5.0,0.8,2.093432144380256,0.41868642887605123
5.0,0.8,2.0198730466558925,0.4039746093311785
5.0,0.8,2.09085891586487,0.418171783172974
5.0,0.8,2.0277228726548087,0.4055445745309617
5.0,0.8,2.0926916429123414,0.4185383285824683
5.0,0.8,2.078661926551077,0.4157323853102154
5.0,0.8,2.0773334855650867,0.41546669711301737
5.0,0.9,2.1587544447353633,0.43175088894707264
5.0,0.9,2.0400183370478615,0.40800366740957233
5.0,0.9,2.062474680757005,0.412494936151401
5.0,0.9,2.119675209853941,0.4239350419707882
5.0,0.9,2.099167605845627,0.4198335211691254
5.0,0.9,2.1590237629663824,0.4318047525932765
5.0,0.9,2.0996107853079242,0.41992215706158487
5.0,0.9,2.116187698468315,0.42323753969366296
5.0,0.9,2.075237361996444,0.4150474723992888
5.0,0.9,2.014953992506892,0.40299079850137837
5.0,0.9,2.0207412886052714,0.4041482577210542
10.0,0.1,6.94618167776256,0.6946181677762561
10.0,0.1,6.152896901392112,0.6152896901392112
10.0,0.1,6.601404596498477,0.6601404596498477
10.0,0.1,6.369036871141463,0.6369036871141464
10.0,0.1,6.463431086914548,0.6463431086914548
10.0,0.1,6.726924320683272,0.6726924320683272
10.0,0.1,6.248734837178887,0.6248734837178886
10.0,0.1,6.365092625627524,0.6365092625627524
10.0,0.1,6.338507668673163,0.6338507668673163
10.0,0.1,7.117700746925865,0.7117700746925866
10.0,0.1,6.528276461701363,0.6528276461701363
10.0,0.2,6.1326468675809815,0.6132646867580982
10.0,0.2,5.984572313184433,0.5984572313184433
10.0,0.2,6.042634720694931,0.604263472069493
10.0,0.2,6.193734699681139,0.6193734699681138
10.0,0.2,6.14840619824211,0.614840619824211
10.0,0.2,6.099962117964971,0.609996211796497
10.0,0.2,6.085841792507936,0.6085841792507936
10.0,0.2,6.473792923180998,0.6473792923180998
10.0,0.2,5.949816384601444,0.5949816384601444
10.0,0.2,5.978621254002303,0.5978621254002303
10.0,0.2,6.184038003128391,0.618403800312839
10.0,0.3,6.297591933224031,0.6297591933224032
10.0,0.3,6.480260801814037,0.6480260801814037
10.0,0.3,6.271728385586804,0.6271728385586803
10.0,0.3,6.481577657506223,0.6481577657506223
10.0,0.3,6.158404961288297,0.6158404961288297
10.0,0.3,6.370936556668213,0.6370936556668213
10.0,0.3,6.33413765527574,0.633413765527574
10.0,0.3,6.573481221690133,0.6573481221690133
10.0,0.3,6.4953154041357255,0.6495315404135725
10.0,0.3,6.510527461685966,0.6510527461685965
10.0,0.3,6.3489584181445915,0.6348958418144591
10.0,0.4,5.961035030424296,0.5961035030424295
10.0,0.4,6.131711335033138,0.6131711335033139
10.0,0.4,6.329225064441484,0.6329225064441484
10.0,0.4,6.095252602746534,0.6095252602746534
10.0,0.4,6.241205438987027,0.6241205438987028
10.0,0.4,6.198300410362971,0.6198300410362971
10.0,0.4,6.144931522614372,0.6144931522614372
10.0,0.4,6.337601849706694,0.6337601849706693
10.0,0.4,6.2170994113034475,0.6217099411303447
10.0,0.4,6.1304767020747155,0.6130476702074715
10.0,0.4,6.14667696081326,0.614667696081326
10.0,0.5,6.397898396729497,0.6397898396729498
10.0,0.5,6.049940279206886,0.6049940279206887
10.0,0.5,6.21844741924204,0.6218447419242039
10.0,0.5,6.316529106581417,0.6316529106581417
10.0,0.5,6.334505695045053,0.6334505695045053
10.0,0.5,6.325888044155959,0.6325888044155958
10.0,0.5,6.197828419701374,0.6197828419701374
