value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
5,0.7881106208579455,0.044931745608041376,10,5.0,0.1,0.1,5,50.0,50,11.0,11
2,0.746564541022321,0.025957818369824803,11,5.0,0.2,0.2,5,25.0,25,11.0,11
2,0.5309518406872202,0.06900547427491253,8,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,11.0,11
4,0.5863479696689492,0.1340350438789763,2,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,11.0,11
2,0.6212600653163025,0.027001969743942863,11,5.0,0.4,0.4,5,12.5,12.5,11.0,11
5,0.559644032492482,0.019367219856611773,10,5.0,0.5,0.5,5,10.0,10,11.0,11
5,0.4646595465283308,0.01895029363272657,10,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,11.0,11
1,0.4454186347845022,0.008647088530857121,5,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,11.0,11
2,0.4576443743931915,0.0035703184978028196,2,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,11.0,11
5,0.44573464453102907,0.0033925469384663044,4,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,11.0,11
1,0.4256763549701077,0.0065268586929653075,5,5.0,0.8,0.8,5,6.25,6.25,11.0,11
3,0.4351207847103036,0.008921116036974909,3,5.0,0.8,0.8,5,6.25,6.25,11.0,11
4,0.42777380952360367,0.010808632226714469,2,5.0,0.8,0.8,5,6.25,6.25,11.0,11
2,0.4615432215699474,0.007169639448712584,6,5.0,0.9,0.9,5,5.555555555555555,5.55555555555556,11.0,11
5,0.45019177949042816,0.014999604062100283,5,5.0,0.9,0.9,5,5.555555555555555,5.55555555555556,11.0,11
1,0.8710826210768503,0.0010072746157521522,2,10.0,0.1,0.1,10,100.0,100,11.0,11
3,0.8827614379021975,0.02830737931047551,2,10.0,0.1,0.1,10,100.0,100,11.0,11
9,0.922355769224769,0.0584660689239227,4,10.0,0.1,0.1,10,100.0,100,11.0,11
2,0.8716676120534822,0.034841221364508235,6,10.0,0.2,0.2,10,50.0,50,11.0,11
