value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
2,0.2582914985402671,0.014703042148455416,28,10.0,0.5,0.5,10,20.0,20,51.0,51
6,0.26172687991460003,0.016552183215953215,21,10.0,0.5,0.5,10,20.0,20,51.0,51
9,0.24659052658535163,0.01386779912468652,2,10.0,0.5,0.5,10,20.0,20,51.0,51
3,0.2314793034938702,0.009024347271703564,6,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,51.0,51
4,0.23711937844572695,0.016602905257325492,2,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,51.0,51
5,0.24028862787148828,0.01017326218290334,33,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,51.0,51
6,0.2309574824724449,0.010451435443166209,2,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,51.0,51
10,0.23744978544627376,0.006862307427317353,8,10.0,0.6,0.6,10,16.666666666666668,16.6666666666667,51.0,51
3,0.24409070887869663,0.01495898181371245,47,10.0,0.7,0.7,10,14.285714285714286,14.2857142857143,51.0,51
6,0.22267771415065651,0.006076157537418068,2,10.0,0.7,0.7,10,14.285714285714286,14.2857142857143,51.0,51
1,0.21954662782800632,0.009676197503034794,27,10.0,0.8,0.8,10,12.5,12.5,51.0,51
4,0.22023472322586662,0.009108742346357558,10,10.0,0.8,0.8,10,12.5,12.5,51.0,51
6,0.2174203479927893,0.007629237771058913,9,10.0,0.8,0.8,10,12.5,12.5,51.0,51
9,0.20900919375038285,0.004273797179872441,2,10.0,0.8,0.8,10,12.5,12.5,51.0,51
1,0.2084078843971535,0.004671337553243531,10,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,51.0,51
2,0.2085109765327784,0.0030903017144201955,3,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,51.0,51
3,0.2101072186574852,0.0027533977061336683,7,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,51.0,51
4,0.21312479452530014,0.006002820586945824,8,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,51.0,51
5,0.20852213598499422,0.005240589569445586,8,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,51.0,51
6,0.20655197811430143,0.002225439181173878,2,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,51.0,51
7,0.21190973384749764,0.009295182391327617,5,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,51.0,51
8,0.2095127125623048,0.003301177602816798,4,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,51.0,51
10,0.2140760227210493,0.013531305366947084,3,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,51.0,51
8,0.7220193740659784,0.2347011405150766,2,20.0,0.1,0.1,20,200.0,200,51.0,51
11,0.6136825396752972,0.15507454786444674,5,20.0,0.1,0.1,20,200.0,200,51.0,51
16,0.6230448366954559,0.09667790267509759,30,20.0,0.1,0.1,20,200.0,200,51.0,51
17,0.6167061004526189,0.19028982561651728,4,20.0,0.1,0.1,20,200.0,200,51.0,51
19,0.6471349258994229,0.16143075735038273,4,20.0,0.1,0.1,20,200.0,200,51.0,51
20,0.6222526469470793,0.1787474514848642,4,20.0,0.1,0.1,20,200.0,200,51.0,51
7,0.6722220068220165,0.15590691970719223,2,20.0,0.2,0.2,20,100.0,100,51.0,51
12,0.6418788751082869,0.060498465715167836,39,20.0,0.2,0.2,20,100.0,100,51.0,51
16,0.6207755780731123,0.11328972998141255,4,20.0,0.2,0.2,20,100.0,100,51.0,51
19,0.6278991871779525,0.13108157834466452,3,20.0,0.2,0.2,20,100.0,100,51.0,51
2,0.5337254367474127,0.057371322020113386,12,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,51.0,51
4,0.5432815416348751,0.0827596356515793,5,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,51.0,51
7,0.5219095932362624,0.07083488201312614,9,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,51.0,51
12,0.5465406748620902,0.06089565271680757,11,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,51.0,51
13,0.49745369782614135,0.011627704913784983,3,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,51.0,51
18,0.5353892545310248,0.07862393180889363,8,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,51.0,51
2,0.5401162549147724,0.07526429359222442,6,20.0,0.4,0.4,20,50.0,50,51.0,51
4,0.537566660015539,0.05273008407125407,9,20.0,0.4,0.4,20,50.0,50,51.0,51
5,0.5202737305034527,0.04466216895130769,8,20.0,0.4,0.4,20,50.0,50,51.0,51
8,0.524658783787587,0.031124143820950016,12,20.0,0.4,0.4,20,50.0,50,51.0,51
15,0.5073434653906617,0.06200172112790319,3,20.0,0.4,0.4,20,50.0,50,51.0,51
16,0.51982609980827,0.03973054298960875,9,20.0,0.4,0.4,20,50.0,50,51.0,51
2,0.5533281470566147,0.011581359969784578,2,20.0,0.5,0.5,20,40.0,40,51.0,51
3,0.5604067460291429,0.11727590444235363,2,20.0,0.5,0.5,20,40.0,40,51.0,51
8,0.553909047807705,0.05292558021784041,18,20.0,0.5,0.5,20,40.0,40,51.0,51
12,0.5574850587263777,0.04871686379140748,27,20.0,0.5,0.5,20,40.0,40,51.0,51
4,0.48422452124351795,0.022058336127238617,6,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,51.0,51
9,0.46517272079641653,0.022994342398003038,3,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,51.0,51
10,0.4898434920568753,0.018002340796600406,5,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,51.0,51
11,0.4755036630020656,0.05963785214896806,2,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,51.0,51
13,0.4828847431835219,0.02256300067636206,5,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,51.0,51
19,0.506249431412068,0.03685735636324946,29,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,51.0,51
1,0.4604691876738466,0.009606352629721843,2,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,51.0,51
3,0.4632798773031249,0.03624780259668436,3,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,51.0,51
4,0.4769219219207369,0.010163634305169384,4,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,51.0,51
6,0.46659337171408244,0.016416997683610827,7,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,51.0,51
7,0.48205060275534684,0.023420320083634327,15,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,51.0,51
9,0.4740154903050248,0.02739017974676327,13,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,51.0,51
11,0.46749424248735527,0.02314146725203893,4,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,51.0,51
14,0.43272812372756253,0.020310685378085742,2,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,51.0,51
3,0.4486293822949165,0.019571857864041378,9,20.0,0.8,0.8,20,25.0,25,51.0,51
5,0.44425037225514846,0.007967035548902828,5,20.0,0.8,0.8,20,25.0,25,51.0,51
10,0.4635929134251262,0.03711076928229883,4,20.0,0.8,0.8,20,25.0,25,51.0,51
16,0.45299818290693167,0.02951159006544426,14,20.0,0.8,0.8,20,25.0,25,51.0,51
17,0.45398184729465496,0.03327334122609691,2,20.0,0.8,0.8,20,25.0,25,51.0,51
18,0.45740637412614693,0.020931248030525186,4,20.0,0.8,0.8,20,25.0,25,51.0,51
20,0.450335730869108,0.016704265767301937,10,20.0,0.8,0.8,20,25.0,25,51.0,51
1,0.42052776273936654,0.024069524759188977,5,20.0,0.9,0.9,20,22.22222222222222,22.2222222222222,51.0,51
4,0.42310565100633524,0.01934958016295255,4,20.0,0.9,0.9,20,22.22222222222222,22.2222222222222,51.0,51
6,0.44413603691823256,0.014328398742961363,2,20.0,0.9,0.9,20,22.22222222222222,22.2222222222222,51.0,51
7,0.4254753954388409,0.025716068173296608,3,20.0,0.9,0.9,20,22.22222222222222,22.2222222222222,51.0,51
8,0.4314334328158123,0.011080706392392281,6,20.0,0.9,0.9,20,22.22222222222222,22.2222222222222,51.0,51
11,0.42725700449591086,0.0398598530290039,2,20.0,0.9,0.9,20,22.22222222222222,22.2222222222222,51.0,51
12,0.42838961531426323,0.021006637857222166,6,20.0,0.9,0.9,20,22.22222222222222,22.2222222222222,51.0,51
13,0.42467493600476086,0.018312272468264463,4,20.0,0.9,0.9,20,22.22222222222222,22.2222222222222,51.0,51
14,0.409115229056802,0.010948822517597172,4,20.0,0.9,0.9,20,22.22222222222222,22.2222222222222,51.0,51
16,0.4409103225644587,0.04720515204674125,2,20.0,0.9,0.9,20,22.22222222222222,22.2222222222222,51.0,51
17,0.4168991938520197,0.017629802653484922,5,20.0,0.9,0.9,20,22.22222222222222,22.2222222222222,51.0,51
19,0.42253081114238583,0.013261146717173166,5,20.0,0.9,0.9,20,22.22222222222222,22.2222222222222,51.0,51
3,0.8310696248075404,0.08335284777557911,7,30.0,0.1,0.1,30,300.0,300,51.0,51
10,0.7954834054714544,0.04423928021009652,5,30.0,0.1,0.1,30,300.0,300,51.0,51
11,0.7235995155557082,0.007207639474409295,7,30.0,0.1,0.1,30,300.0,300,51.0,51
19,0.7891003837217311,0.11083092771897396,7,30.0,0.1,0.1,30,300.0,300,51.0,51
